,Unnamed: 0,country,population,year,quarter,new_cases,percentage
0,0,Albania,2827615.0,2020,Q1,212.0,0.0074974846292723
1,1,Albania,2827615.0,2020,Q2,2190.0,0.0774504308401249
2,2,Albania,2827615.0,2020,Q3,10989.0,0.3886314084484628
3,3,Albania,2827615.0,2020,Q4,43755.0,1.547417169593456
4,4,Albania,2827615.0,2021,Q1,67273.0,2.379142846533209
5,5,Albania,2827615.0,2021,Q2,8094.0,0.2862483046666537
6,6,Albania,2827615.0,2021,Q3,36269.0,1.2826710849956589
7,7,Albania,2827615.0,2021,Q4,40117.0,1.4187575041156593
8,8,Albania,2827615.0,2022,Q1,64630.0,2.2856718471220447
9,9,Albania,2827615.0,2022,Q2,5638.0,0.1993906525464039
10,10,Albania,2827615.0,2022,Q3,51816.0,1.8324984129734776
11,11,Albania,2827615.0,2022,Q4,1785.0,0.063127405958732
12,12,Albania,2827615.0,2023,Q1,1087.0,0.038442291471788
13,13,Albania,2827615.0,2023,Q2,235.0,0.0083108909805613
14,14,Albania,2827615.0,2023,Q3,0.0,0.0
15,15,Albania,2827615.0,2023,Q4,506.0,0.0178949397283576
16,16,Albania,2827615.0,2024,Q1,432.0,0.0152778932068191
17,17,Albania,2827615.0,2024,Q2,224.0,0.007921870551684
18,18,Albania,2827615.0,2024,Q3,1934.0,0.0683968644953432
19,19,Albania,2827615.0,2024,Q4,10.0,0.000353654935343
36520,36520,Andorra,79722.0,2020,Q1,376.0,0.4716389453350392
36521,36521,Andorra,79722.0,2020,Q2,479.0,0.600837911743308
36522,36522,Andorra,79722.0,2020,Q3,1111.0,1.3935927347532675
36523,36523,Andorra,79722.0,2020,Q4,6017.0,7.547477484257796
36524,36524,Andorra,79722.0,2021,Q1,3961.0,4.968515591681092
36525,36525,Andorra,79722.0,2021,Q2,1956.0,2.453526002859938
36526,36526,Andorra,79722.0,2021,Q3,1309.0,1.641955796392464
36527,36527,Andorra,79722.0,2021,Q4,7913.0,9.925741953287677
36528,36528,Andorra,79722.0,2022,Q1,16902.0,21.20117407992775
36529,36529,Andorra,79722.0,2022,Q2,3750.0,4.703845864378716
36530,36530,Andorra,79722.0,2022,Q3,2453.0,3.076942374752264
36531,36531,Andorra,79722.0,2022,Q4,1524.0,1.91164295928351
36532,36532,Andorra,79722.0,2023,Q1,179.0,0.2245302425930107
36533,36533,Andorra,79722.0,2023,Q2,85.0,0.1066205062592509
36534,36534,Andorra,79722.0,2023,Q3,0.0,0.0
36535,36535,Andorra,79722.0,2023,Q4,0.0,0.0
36536,36536,Andorra,79722.0,2024,Q1,0.0,0.0
36537,36537,Andorra,79722.0,2024,Q2,0.0,0.0
36538,36538,Andorra,79722.0,2024,Q3,0.0,0.0
36539,36539,Andorra,79722.0,2024,Q4,0.0,0.0
73040,73040,Austria,9064679.0,2020,Q1,6100.0,0.067294164525848
73041,73041,Austria,9064679.0,2020,Q2,8314.0,0.0917186366996558
73042,73042,Austria,9064679.0,2020,Q3,26590.0,0.2933363663511967
73043,73043,Austria,9064679.0,2020,Q4,311653.0,3.438102992946579
73044,73044,Austria,9064679.0,2021,Q1,180167.0,1.9875717606767984
73045,73045,Austria,9064679.0,2021,Q2,107906.0,1.190400674971502
73046,73046,Austria,9064679.0,2021,Q3,91754.0,1.0122145527712565
73047,73047,Austria,9064679.0,2021,Q4,532045.0,5.86943012543522
73048,73048,Austria,9064679.0,2022,Q1,2559004.0,28.230497737426774
