country,year,cases,percentage_cases,vaccines,percentage_vaccines
Albania,2021,151753,5.366819740311181,1141486,40.36921575249813
Albania,2022,123869,4.380688318600658,200757,7.099870385466196
Albania,2023,1828,0.06464812218070706,7012,0.24798284066253717
Andorra,2021,15139,18.989739344221167,56509,70.88256692004717
Andorra,2022,24629,30.89360527834224,816,1.0235568600888085
Andorra,2023,264,0.3311507488522616,12,0.015052306766011892
Austria,2021,911872,10.059617113854777,6675453,73.64246433878134
Austria,2022,4436317,48.940696079806024,190540,2.1020049358614905
Austria,2023,381324,4.206701638304015,2108,0.023255098167293074
Belarus,2020,192361,2.0969796825353217,0,0.0
Belarus,2021,505239,5.507748024934698,4356041,47.48639003379503
Belarus,2022,296437,3.2315405209565515,2081798,22.694247322184165
Belarus,2023,0,0.0,98553,1.07435311031292
Belgium,2020,645277,5.542753521294321,590,0.00506793916033525
Belgium,2021,1451435,12.46743097488338,8938845,76.78224173502873
Belgium,2022,2588192,22.23186371401087,319784,2.746857383811267
Belgium,2023,163841,1.407349525370318,2087,0.017926761063762148
Bosnia and Herzegovina,2021,179486,5.600527957239208,882641,27.541176452233447
Bosnia and Herzegovina,2022,110622,3.451754474921251,60753,1.8956847608512843
Bulgaria,2020,197384,2.891707612649126,2889,0.04232431855136852
Bulgaria,2021,536498,7.85978271172451,1899535,27.828495825363035
Bulgaria,2022,546735,8.00975642200847,200609,2.938954385694527
Bulgaria,2023,42961,0.6293856176134798,51111,0.7487844394181365
Croatia,2020,208446,5.335150911267405,0,0.0
Croatia,2021,501232,12.828974226209109,2251529,57.62762056405491
Croatia,2022,553839,14.175444218384753,61279,1.5684288146165208
Croatia,2023,46211,1.1827651226724334,2353,0.06022475890260405
Cyprus,2021,139432,10.472774032279386,636989,47.84441059475309
Cyprus,2022,469332,35.25164942135054,30079,2.259241566619798
Cyprus,2023,44364,3.3321916573529937,224,0.0168246986576294
Czechia,2020,723577,6.779371840689817,10589,0.09921095947088487
Czechia,2021,1793803,16.80658388249615,6818621,63.88534627238875
Czechia,2022,2062755,19.326461677529995,147156,1.3787409530548242
Czechia,2023,166488,1.5598672415137107,4034,0.03779554353626873
Czechia,2024,79269,0.7426908628102344,317,0.002970051388447493
Denmark,2020,161230,2.7313702523743424,9,0.00015246748292110078
Denmark,2021,622472,10.545193225429273,4693559,79.51279185240877
Denmark,2022,2604737,44.12641045127326,52089,0.8824309686530243
Denmark,2023,43907,0.743821085846308,863,0.014619937528989997
Estonia,2020,31031,2.2984359584383878,2284,0.16917365631379194
Estonia,2021,195778,14.501085851927128,839636,62.191021056342834
Estonia,2022,367408,27.213552854175866,26432,1.9577925059921841
Estonia,2023,14364,1.0639274953114306,1535,0.11369595553488207
Estonia,2024,5543,0.41056461337449596,124,0.009184559274479072
