country,year,cases
Albania,2020,9949.071625344353
Albania,2021,139191.26575342467
Albania,2022,294772.0328767123
Albania,2023,333964.23287671234
Albania,2024,335940.37978142075
Albania,2025,337196.0
Andorra,2020,1860.9283746556473
Andorra,2021,13891.30410958904
Andorra,2022,42501.04109589041
Andorra,2023,47969.20547945205
Andorra,2024,48015.0
Andorra,2025,48015.0
Austria,2020,57439.07162534435
Austria,2021,676618.3835616439
Austria,2022,4218724.978082192
Austria,2023,6022104.657534246
Austria,2024,6082517.193989071
Austria,2025,6083046.0
Belarus,2020,55772.36639118457
Belarus,2021,433301.4493150685
Belarus,2022,949902.1616438356
Belarus,2023,994037.0
Belarus,2024,994038.1338797815
Belarus,2025,994045.0
Belgium,2020,149380.10192837464
Belgium,2021,1125193.6219178082
Belgium,2022,4099724.115068493
Belgium,2023,4789566.917808219
Belgium,2024,4871643.469945355
Belgium,2025,4894150.0
Bosnia and Herzegovina,2020,21881.856749311293
Bosnia and Herzegovina,2021,201418.56164383562
Bosnia and Herzegovina,2022,379605.36438356165
Bosnia and Herzegovina,2023,402791.69315068494
Bosnia and Herzegovina,2024,403747.72404371586
Bosnia and Herzegovina,2025,404142.0
Bulgaria,2020,28485.652892561982
Bulgaria,2021,429531.8164383562
Bulgaria,2022,1155935.4164383563
Bulgaria,2023,1298732.4602739727
Bulgaria,2024,1331793.6284153005
Bulgaria,2025,1339048.0
Croatia,2020,26752.4435261708
Croatia,2021,372708.9506849315
Croatia,2022,1135623.9123287671
Croatia,2023,1275631.2821917809
Croatia,2024,1328300.5327868853
Croatia,2025,1352684.0
Cyprus,2020,2719.438016528926
Cyprus,2021,85001.04931506849
Cyprus,2022,486410.3506849315
Cyprus,2023,657722.7369863014
Cyprus,2024,698734.3032786886
Cyprus,2025,711582.0
Czechia,2020,111845.44903581268
Czechia,2021,1632607.3917808218
Czechia,2022,4118058.2794520548
Czechia,2023,4644865.676712329
Czechia,2024,4775002.9754098365
Czechia,2025,4825892.0
Denmark,2020,24935.388429752067
Denmark,2021,318586.45753424655
Denmark,2022,2966570.3671232876
