ISO2,ISO3,country,year,deaths
AD,AND,Andorra,2020,84
AD,AND,Andorra,2021,140
AD,AND,Andorra,2022,158
AD,AND,Andorra,2023,159
AD,AND,Andorra,2024,159
AD,AND,Andorra,2025,159
AL,ALB,Albania,2020,1170
AL,ALB,Albania,2021,3212
AL,ALB,Albania,2022,3596
AL,ALB,Albania,2023,3604
AL,ALB,Albania,2024,3608
AL,ALB,Albania,2025,3608
AT,AUT,Austria,2020,7379
AT,AUT,Austria,2021,16697
AT,AUT,Austria,2022,21634
AT,AUT,Austria,2023,22534
AT,AUT,Austria,2024,22534
AT,AUT,Austria,2025,22534
BA,BIH,Bosnia and Herzegovina,2020,4050
BA,BIH,Bosnia and Herzegovina,2021,13428
BA,BIH,Bosnia and Herzegovina,2022,16234
BA,BIH,Bosnia and Herzegovina,2023,16380
BA,BIH,Bosnia and Herzegovina,2024,16404
BA,BIH,Bosnia and Herzegovina,2025,16404
BE,BEL,Belgium,2020,19638
BE,BEL,Belgium,2021,28317
BE,BEL,Belgium,2022,33319
BE,BEL,Belgium,2023,34339
BE,BEL,Belgium,2024,34339
BE,BEL,Belgium,2025,34339
BG,BGR,Bulgaria,2020,7123
BG,BGR,Bulgaria,2021,30528
BG,BGR,Bulgaria,2022,38036
BG,BGR,Bulgaria,2023,38630
BG,BGR,Bulgaria,2024,38771
BG,BGR,Bulgaria,2025,38771
BY,BLR,Belarus,2020,1414
BY,BLR,Belarus,2021,5561
BY,BLR,Belarus,2022,7118
BY,BLR,Belarus,2023,7118
BY,BLR,Belarus,2024,7118
BY,BLR,Belarus,2025,7118
CH,CHE,Switzerland,2020,7528
CH,CHE,Switzerland,2021,11921
CH,CHE,Switzerland,2022,13882
CH,CHE,Switzerland,2023,14170
CH,CHE,Switzerland,2024,14170
CH,CHE,Switzerland,2025,14170
CY,CYP,Cyprus,2020,122
CY,CYP,Cyprus,2021,646
CY,CYP,Cyprus,2022,1258
CY,CYP,Cyprus,2023,1364
CY,CYP,Cyprus,2024,1364
CY,CYP,Cyprus,2025,1364
CZ,CZE,Czechia,2020,11888
CZ,CZE,Czechia,2021,36332
CZ,CZE,Czechia,2022,42152
CZ,CZE,Czechia,2023,43354
CZ,CZE,Czechia,2024,43776
CZ,CZE,Czechia,2025,43776
DE,DEU,Germany,2020,47009
DE,DEU,Germany,2021,117692
DE,DEU,Germany,2022,165738
DE,DEU,Germany,2023,174979
DE,DEU,Germany,2024,174979
DE,DEU,Germany,2025,174979
DK,DNK,Denmark,2020,1256
DK,DNK,Denmark,2021,3256
DK,DNK,Denmark,2022,7782
DK,DNK,Denmark,2023,9493
DK,DNK,Denmark,2024,10012
DK,DNK,Denmark,2025,10012
EE,EST,Estonia,2020,284
EE,EST,Estonia,2021,1828
EE,EST,Estonia,2022,2727
EE,EST,Estonia,2023,2972
EE,EST,Estonia,2024,2998
EE,EST,Estonia,2025,2998
ES,ESP,Spain,2020,53964
ES,ESP,Spain,2021,91275
ES,ESP,Spain,2022,118943
ES,ESP,Spain,2023,121852
ES,ESP,Spain,2024,121852
ES,ESP,Spain,2025,121852
FI,FIN,Finland,2020,635
FI,FIN,Finland,2021,1927
FI,FIN,Finland,2022,8764
FI,FIN,Finland,2023,11408
FI,FIN,Finland,2024,11466
FI,FIN,Finland,2025,11466
FO,FRO,Faroe Islands,2020,0
FO,FRO,Faroe Islands,2021,14
FO,FRO,Faroe Islands,2022,28
FO,FRO,Faroe Islands,2023,28
FO,FRO,Faroe Islands,2024,28
FO,FRO,Faroe Islands,2025,28
FR,FRA,France,2020,63534
FR,FRA,France,2021,124165
FR,FRA,France,2022,161667
FR,FRA,France,2023,168047
FR,FRA,France,2024,168138
FR,FRA,France,2025,168138
GB,GBR,United Kingdom,2020,93317
GB,GBR,United Kingdom,2021,176813
GB,GBR,United Kingdom,2022,216159
GB,GBR,United Kingdom,2023,232112
GB,GBR,United Kingdom,2024,232112
GB,GBR,United Kingdom,2025,232112
GG,GGY,Guernsey,2020,16
GG,GGY,Guernsey,2021,24
GG,GGY,Guernsey,2022,61
GG,GGY,Guernsey,2023,67
GG,GGY,Guernsey,2024,67
GG,GGY,Guernsey,2025,67
GI,GIB,Gibraltar,2020,6
GI,GIB,Gibraltar,2021,100
GI,GIB,Gibraltar,2022,110
GI,GIB,Gibraltar,2023,113
GI,GIB,Gibraltar,2024,113
GI,GIB,Gibraltar,2025,113
GR,GRC,Greece,2020,4682
GR,GRC,Greece,2021,20505
GR,GRC,Greece,2022,34976
GR,GRC,Greece,2023,38421
GR,GRC,Greece,2024,39896
GR,GRC,Greece,2025,39896
HR,HRV,Croatia,2020,3860
HR,HRV,Croatia,2021,12493
HR,HRV,Croatia,2022,17583
HR,HRV,Croatia,2023,18687
HR,HRV,Croatia,2024,18781
HR,HRV,Croatia,2025,18781
HU,HUN,Hungary,2020,9537
HU,HUN,Hungary,2021,39186
HU,HUN,Hungary,2022,48495
HU,HUN,Hungary,2023,48991
HU,HUN,Hungary,2024,49117
HU,HUN,Hungary,2025,49117
