country,year,new_cases,percentage
Albania,2020,57146,2.020996493511316
Albania,2021,151753,5.366819740311181
Albania,2022,123869,4.380688318600658
Albania,2023,1828,0.06464812218070706
Albania,2024,2600,0.09195028318918948
Albania,2025,0,0.0
Andorra,2020,7983,10.01354707608941
Andorra,2021,15139,18.989739344221167
Andorra,2022,24629,30.89360527834224
Andorra,2023,264,0.3311507488522616
Andorra,2024,0,0.0
Andorra,2025,0,0.0
Austria,2020,352657,3.8904521605232794
Austria,2021,911872,10.059617113854777
Austria,2022,4436317,48.940696079806024
Austria,2023,381324,4.206701638304015
Austria,2024,876,0.00966388329912179
Austria,2025,0,0.0
Belarus,2020,192361,2.0969796825353217
Belarus,2021,505239,5.507748024934698
Belarus,2022,296437,3.2315405209565515
Belarus,2023,0,0.0
Belarus,2024,8,8.721018013153694e-05
Belarus,2025,0,0.0
Belgium,2020,645277,5.542753521294321
Belgium,2021,1451435,12.46743097488338
Belgium,2022,2588192,22.23186371401087
Belgium,2023,163841,1.407349525370318
Belgium,2024,45405,0.39001657216105434
Belgium,2025,0,0.0
Bosnia and Herzegovina,2020,110985,3.4630812171099334
Bosnia and Herzegovina,2021,179486,5.600527957239208
Bosnia and Herzegovina,2022,110622,3.451754474921251
Bosnia and Herzegovina,2023,2415,0.0753555988585889
Bosnia and Herzegovina,2024,634,0.01978279489703742
Bosnia and Herzegovina,2025,0,0.0
Bulgaria,2020,197384,2.891707612649126
Bulgaria,2021,536498,7.85978271172451
Bulgaria,2022,546735,8.00975642200847
Bulgaria,2023,42961,0.6293856176134798
Bulgaria,2024,15470,0.22663800899607858
Bulgaria,2025,0,0.0
Croatia,2020,208446,5.335150911267405
Croatia,2021,501232,12.828974226209109
Croatia,2022,553839,14.175444218384753
Croatia,2023,46211,1.1827651226724334
Croatia,2024,42956,1.09945377960912
Croatia,2025,0,0.0
Cyprus,2020,22347,1.6784890218841257
Cyprus,2021,139432,10.472774032279386
Cyprus,2022,469332,35.25164942135054
Cyprus,2023,44364,3.3321916573529937
Cyprus,2024,36107,2.7120062251385035
Cyprus,2025,0,0.0
Czechia,2020,723577,6.779371840689817
Czechia,2021,1793803,16.80658388249615
Czechia,2022,2062755,19.326461677529995
Czechia,2023,166488,1.5598672415137107
Czechia,2024,79269,0.7426908628102344
Czechia,2025,0,0.0
Denmark,2020,161230,2.7313702523743424
Denmark,2021,622472,10.545193225429273
Denmark,2022,2604737,44.12641045127326
Denmark,2023,43907,0.743821085846308
Denmark,2024,13055,0.22116255439277455
Denmark,2025,0,0.0
Estonia,2020,31031,2.2984359584383878
Estonia,2021,195778,14.501085851927128
Estonia,2022,367408,27.213552854175866
Estonia,2023,14364,1.0639274953114306
Estonia,2024,5543,0.41056461337449596
Estonia,2025,0,0.0
Faroe Islands,2020,608,1.1251133440663224
Faroe Islands,2021,5161,9.55050981698403
Faroe Islands,2022,28889,53.459538481467085
Faroe Islands,2023,0,0.0
Faroe Islands,2024,0,0.0
