country,year,deaths
Albania,2020,236.96418732782368
Albania,2021,2375.964383561644
Albania,2022,3508.2712328767125
Albania,2023,3602.4301369863015
Albania,2024,3606.1065573770493
Albania,2025,3608.0
Andorra,2020,42.5068870523416
Andorra,2021,122.16164383561645
Andorra,2022,152.71506849315068
Andorra,2023,158.9890410958904
Andorra,2024,159.0
Andorra,2025,159.0
Austria,2020,1140.0358126721762
Austria,2021,12504.55616438356
Austria,2022,19746.328767123287
Austria,2023,22379.339726027396
Austria,2024,22534.0
Austria,2025,22534.0
Belarus,2020,471.7906336088154
Belarus,2021,3256.8246575342464
Belarus,2022,6859.1671232876715
Belarus,2023,7118.0
Belarus,2024,7118.0
Belarus,2025,7118.0
Belgium,2020,8130.482093663912
Belgium,2021,24628.26301369863
Belgium,2022,31606.43287671233
Belgium,2023,34147.45479452055
Belgium,2024,34339.0
Belgium,2025,34339.0
Bosnia and Herzegovina,2020,680.2424242424242
Bosnia and Herzegovina,2021,8915.364383561644
Bosnia and Herzegovina,2022,15688.978082191781
Bosnia and Herzegovina,2023,16335.769863013698
Bosnia and Herzegovina,2024,16392.887978142076
Bosnia and Herzegovina,2025,16404.0
Bulgaria,2020,874.5151515151515
Bulgaria,2021,17683.035616438356
Bulgaria,2022,36590.9397260274
Bulgaria,2023,38341.76438356165
Bulgaria,2024,38712.60928961749
Bulgaria,2025,38771.0
Croatia,2020,421.39118457300276
Croatia,2021,7790.441095890411
Croatia,2022,15987.728767123288
Croatia,2023,18222.54794520548
Croatia,2024,18758.642076502732
Croatia,2025,18781.0
Cyprus,2020,21.407713498622588
Cyprus,2021,407.1095890410959
Cyprus,2022,1048.7917808219179
Cyprus,2023,1347.3013698630136
Cyprus,2024,1364.0
Cyprus,2025,1364.0
Czechia,2020,1702.3057851239669
Czechia,2021,28029.92876712329
Czechia,2022,40250.830136986304
Czechia,2023,42764.97808219178
Czechia,2024,43557.71857923497
Czechia,2025,43776.0
Denmark,2020,487.6666666666667
Denmark,2021,2508.8273972602738
Denmark,2022,6182.334246575342
Denmark,2023,8654.775342465753
Denmark,2024,9771.418032786885
Denmark,2025,10012.0
Estonia,2020,110.70523415977961
Estonia,2021,1157.6657534246576
Estonia,2022,2409.2109589041097
Estonia,2023,2877.0027397260274
Estonia,2024,2996.3551912568305
Estonia,2025,2998.0
Faroe Islands,2020,0.0
Faroe Islands,2021,2.8794520547945206
Faroe Islands,2022,26.54794520547945
Faroe Islands,2023,28.0
Faroe Islands,2024,28.0
Faroe Islands,2025,28.0
Finland,2020,266.3471074380165
Finland,2021,1062.3643835616438
Finland,2022,5359.860273972603
Finland,2023,10053.345205479452
Finland,2024,11464.27868852459
Finland,2025,11466.0
France,2020,18796.10743801653
France,2021,107133.84383561644
France,2022,148434.17260273974
France,2023,166967.56438356164
France,2024,168095.31147540984
France,2025,168138.0
Germany,2020,9777.859504132231
Germany,2021,89977.73150684932
Germany,2022,144324.33424657534
Germany,2023,173566.45753424658
Germany,2024,174979.0
Germany,2025,174979.0
Gibraltar,2020,0.6170798898071626
Gibraltar,2021,89.57260273972602
Gibraltar,2022,104.5095890410959
Gibraltar,2023,112.47123287671234
Gibraltar,2024,113.0
Gibraltar,2025,113.0
Greece,2020,553.3333333333334
Greece,2021,11979.578082191782
Greece,2022,29941.44109589041
Greece,2023,37088.931506849316
Greece,2024,39234.901639344265
Greece,2025,39896.0
Guernsey,2020,11.661157024793388
Guernsey,2021,18.542465753424658
Guernsey,2022,45.85753424657534
