ISO3,year,month,day,vaccines,country
ALB,2020,1,4,,Albania
ALB,2020,1,5,,Albania
ALB,2020,1,6,,Albania
ALB,2020,1,7,,Albania
ALB,2020,1,8,,Albania
ALB,2020,1,9,,Albania
ALB,2020,1,10,,Albania
ALB,2020,1,11,,Albania
ALB,2020,1,12,,Albania
ALB,2020,1,13,,Albania
ALB,2020,1,14,,Albania
ALB,2020,1,15,,Albania
ALB,2020,1,16,,Albania
ALB,2020,1,17,,Albania
ALB,2020,1,18,,Albania
ALB,2020,1,19,,Albania
ALB,2020,1,20,,Albania
ALB,2020,1,21,,Albania
ALB,2020,1,22,,Albania
ALB,2020,1,23,,Albania
ALB,2020,1,24,,Albania
ALB,2020,1,25,,Albania
ALB,2020,1,26,,Albania
ALB,2020,1,27,,Albania
ALB,2020,1,28,,Albania
ALB,2020,1,29,,Albania
ALB,2020,1,30,,Albania
ALB,2020,1,31,,Albania
ALB,2020,2,1,,Albania
ALB,2020,2,2,,Albania
ALB,2020,2,3,,Albania
ALB,2020,2,4,,Albania
ALB,2020,2,5,,Albania
ALB,2020,2,6,,Albania
ALB,2020,2,7,,Albania
ALB,2020,2,8,,Albania
ALB,2020,2,9,,Albania
ALB,2020,2,10,,Albania
ALB,2020,2,11,,Albania
ALB,2020,2,12,,Albania
ALB,2020,2,13,,Albania
ALB,2020,2,14,,Albania
ALB,2020,2,15,,Albania
ALB,2020,2,16,,Albania
ALB,2020,2,17,,Albania
ALB,2020,2,18,,Albania
ALB,2020,2,19,,Albania
ALB,2020,2,20,,Albania
ALB,2020,2,21,,Albania
ALB,2020,2,22,,Albania
ALB,2020,2,23,,Albania
ALB,2020,2,24,,Albania
ALB,2020,2,25,,Albania
ALB,2020,2,26,,Albania
ALB,2020,2,27,,Albania
ALB,2020,2,28,,Albania
ALB,2020,2,29,,Albania
ALB,2020,3,1,,Albania
ALB,2020,3,2,,Albania
ALB,2020,3,3,,Albania
ALB,2020,3,4,,Albania
ALB,2020,3,5,,Albania
ALB,2020,3,6,,Albania
ALB,2020,3,7,,Albania
ALB,2020,3,8,,Albania
ALB,2020,3,9,,Albania
ALB,2020,3,10,,Albania
ALB,2020,3,11,,Albania
ALB,2020,3,12,,Albania
ALB,2020,3,13,,Albania
ALB,2020,3,14,,Albania
ALB,2020,3,15,,Albania
ALB,2020,3,16,,Albania
ALB,2020,3,17,,Albania
ALB,2020,3,18,,Albania
