ISO3,country,year,deaths
ALB,Albania,2020,1170
ALB,Albania,2021,3212
ALB,Albania,2022,3596
ALB,Albania,2023,3604
ALB,Albania,2024,3608
ALB,Albania,2025,3608
AND,Andorra,2020,84
AND,Andorra,2021,140
AND,Andorra,2022,158
AND,Andorra,2023,159
AND,Andorra,2024,159
AND,Andorra,2025,159
AUT,Austria,2020,7379
AUT,Austria,2021,16697
AUT,Austria,2022,21634
AUT,Austria,2023,22534
AUT,Austria,2024,22534
AUT,Austria,2025,22534
BEL,Belgium,2020,19638
BEL,Belgium,2021,28317
BEL,Belgium,2022,33319
BEL,Belgium,2023,34339
BEL,Belgium,2024,34339
BEL,Belgium,2025,34339
BGR,Bulgaria,2020,7123
BGR,Bulgaria,2021,30528
BGR,Bulgaria,2022,38036
BGR,Bulgaria,2023,38630
BGR,Bulgaria,2024,38771
BGR,Bulgaria,2025,38771
BIH,Bosnia and Herzegovina,2020,4050
BIH,Bosnia and Herzegovina,2021,13428
BIH,Bosnia and Herzegovina,2022,16234
BIH,Bosnia and Herzegovina,2023,16380
BIH,Bosnia and Herzegovina,2024,16404
BIH,Bosnia and Herzegovina,2025,16404
BLR,Belarus,2020,1414
BLR,Belarus,2021,5561
BLR,Belarus,2022,7118
BLR,Belarus,2023,7118
BLR,Belarus,2024,7118
BLR,Belarus,2025,7118
CHE,Switzerland,2020,7528
CHE,Switzerland,2021,11921
CHE,Switzerland,2022,13882
CHE,Switzerland,2023,14170
CHE,Switzerland,2024,14170
CHE,Switzerland,2025,14170
CYP,Cyprus,2020,122
CYP,Cyprus,2021,646
CYP,Cyprus,2022,1258
CYP,Cyprus,2023,1364
CYP,Cyprus,2024,1364
CYP,Cyprus,2025,1364
DEU,Germany,2020,47009
DEU,Germany,2021,117692
DEU,Germany,2022,165738
DEU,Germany,2023,174979
DEU,Germany,2024,174979
DEU,Germany,2025,174979
DNK,Denmark,2020,1256
DNK,Denmark,2021,3256
DNK,Denmark,2022,7782
DNK,Denmark,2023,9493
DNK,Denmark,2024,10012
DNK,Denmark,2025,10012
ESP,Spain,2020,53964
ESP,Spain,2021,91275
ESP,Spain,2022,118943
ESP,Spain,2023,121852
ESP,Spain,2024,121852
ESP,Spain,2025,121852
EST,Estonia,2020,284
EST,Estonia,2021,1828
EST,Estonia,2022,2727
EST,Estonia,2023,2972
EST,Estonia,2024,2998
EST,Estonia,2025,2998
FIN,Finland,2020,635
FIN,Finland,2021,1927
FIN,Finland,2022,8764
FIN,Finland,2023,11408
FIN,Finland,2024,11466
FIN,Finland,2025,11466
FRA,France,2020,63534
FRA,France,2021,124165
FRA,France,2022,161667
FRA,France,2023,168047
FRA,France,2024,168138
FRA,France,2025,168138
FRO,Faroe Islands,2020,0
FRO,Faroe Islands,2021,14
FRO,Faroe Islands,2022,28
FRO,Faroe Islands,2023,28
FRO,Faroe Islands,2024,28
FRO,Faroe Islands,2025,28
GBR,United Kingdom,2020,93317
GBR,United Kingdom,2021,176813
GBR,United Kingdom,2022,216159
GBR,United Kingdom,2023,232112
GBR,United Kingdom,2024,232112
GBR,United Kingdom,2025,232112
GGY,Guernsey,2020,16
GGY,Guernsey,2021,24
GGY,Guernsey,2022,61
GGY,Guernsey,2023,67
GGY,Guernsey,2024,67
GGY,Guernsey,2025,67
GIB,Gibraltar,2020,6
GIB,Gibraltar,2021,100
GIB,Gibraltar,2022,110
GIB,Gibraltar,2023,113
GIB,Gibraltar,2024,113
GIB,Gibraltar,2025,113
GRC,Greece,2020,4682
GRC,Greece,2021,20505
GRC,Greece,2022,34976
GRC,Greece,2023,38421
GRC,Greece,2024,39896
GRC,Greece,2025,39896
HRV,Croatia,2020,3860
HRV,Croatia,2021,12493
HRV,Croatia,2022,17583
HRV,Croatia,2023,18687
HRV,Croatia,2024,18781
HRV,Croatia,2025,18781
HUN,Hungary,2020,9537
HUN,Hungary,2021,39186
HUN,Hungary,2022,48495
HUN,Hungary,2023,48991
HUN,Hungary,2024,49117
HUN,Hungary,2025,49117
IMN,Isle of Man,2020,35
IMN,Isle of Man,2021,67
IMN,Isle of Man,2022,116
IMN,Isle of Man,2023,116
IMN,Isle of Man,2024,116
IMN,Isle of Man,2025,116
IRL,Ireland,2020,2264
IRL,Ireland,2021,6084
IRL,Ireland,2022,8491
IRL,Ireland,2023,9454
IRL,Ireland,2024,9915
IRL,Ireland,2025,9915
ISL,Iceland,2020,28
ISL,Iceland,2021,37
ISL,Iceland,2022,186
ISL,Iceland,2023,186
ISL,Iceland,2024,186
ISL,Iceland,2025,186
ITA,Italy,2020,73604
ITA,Italy,2021,137247
ITA,Italy,2022,184792
ITA,Italy,2023,195608
ITA,Italy,2024,199415
ITA,Italy,2025,199415
JEY,Jersey,2020,42
JEY,Jersey,2021,89
JEY,Jersey,2022,146
JEY,Jersey,2023,161
JEY,Jersey,2024,161
JEY,Jersey,2025,161
LIE,Liechtenstein,2020,44
LIE,Liechtenstein,2021,69
LIE,Liechtenstein,2022,87
LIE,Liechtenstein,2023,88
LIE,Liechtenstein,2024,89
LIE,Liechtenstein,2025,89
LTU,Lithuania,2020,1800
LTU,Lithuania,2021,7397
LTU,Lithuania,2022,9482
LTU,Lithuania,2023,9773
LTU,Lithuania,2024,9870
LTU,Lithuania,2025,9870
LUX,Luxembourg,2020,285
LUX,Luxembourg,2021,635
LUX,Luxembourg,2022,955
LUX,Luxembourg,2023,1000
LUX,Luxembourg,2024,1000
LUX,Luxembourg,2025,1000
LVA,Latvia,2020,632
LVA,Latvia,2021,4815
LVA,Latvia,2022,7011
LVA,Latvia,2023,7465
LVA,Latvia,2024,7475
LVA,Latvia,2025,7475
MCO,Monaco,2020,3
MCO,Monaco,2021,38
MCO,Monaco,2022,65
MCO,Monaco,2023,67
MCO,Monaco,2024,67
MCO,Monaco,2025,67
MLT,Malta,2020,227
MLT,Malta,2021,493
MLT,Malta,2022,834
MLT,Malta,2023,895
MLT,Malta,2024,1009
MLT,Malta,2025,1009
MNE,Montenegro,2020,543
MNE,Montenegro,2021,2276
MNE,Montenegro,2022,2616
MNE,Montenegro,2023,2654
MNE,Montenegro,2024,2654
MNE,Montenegro,2025,2654
NLD,Netherlands,2020,11539
NLD,Netherlands,2021,20960
NLD,Netherlands,2022,22976
NLD,Netherlands,2023,22986
NLD,Netherlands,2024,22986
NLD,Netherlands,2025,22986
NOR,Norway,2020,436
NOR,Norway,2021,1394
NOR,Norway,2022,4836
NOR,Norway,2023,5732
NOR,Norway,2024,5732
NOR,Norway,2025,5732
POL,Poland,2020,28642
POL,Poland,2021,97058
POL,Poland,2022,118533
POL,Poland,2023,120238
POL,Poland,2024,120976
POL,Poland,2025,120976
PRT,Portugal,2020,6695
PRT,Portugal,2021,18888
PRT,Portugal,2022,25773
PRT,Portugal,2023,27929
PRT,Portugal,2024,29083
PRT,Portugal,2025,29083
ROU,Romania,2020,15596
ROU,Romania,2021,58714
ROU,Romania,2022,67374
ROU,Romania,2023,68714
ROU,Romania,2024,68953
ROU,Romania,2025,68953
SMR,San Marino,2020,59
SMR,San Marino,2021,99
SMR,San Marino,2022,121
SMR,San Marino,2023,126
SMR,San Marino,2024,126
SMR,San Marino,2025,126
SRB,Serbia,2020,3163
SRB,Serbia,2021,12688
SRB,Serbia,2022,17515
SRB,Serbia,2023,18057
SRB,Serbia,2024,18057
SRB,Serbia,2025,18057
SVK,Slovakia,2020,2138
SVK,Slovakia,2021,16635
SVK,Slovakia,2022,20823
SVK,Slovakia,2023,21207
SVK,Slovakia,2024,21268
SVK,Slovakia,2025,21268
SVN,Slovenia,2020,2881
SVN,Slovenia,2021,6089
SVN,Slovenia,2022,8801
SVN,Slovenia,2023,9690
SVN,Slovenia,2024,9914
SVN,Slovenia,2025,9914
SWE,Sweden,2020,9706
SWE,Sweden,2021,15345
SWE,Sweden,2022,22306
SWE,Sweden,2023,26686
SWE,Sweden,2024,28423
SWE,Sweden,2025,28423
UKR,Ukraine,2020,15278
UKR,Ukraine,2021,92533
UKR,Ukraine,2022,108249
UKR,Ukraine,2023,109918
UKR,Ukraine,2024,109925
UKR,Ukraine,2025,109925
