worktime,sector,sex,level,country,2005,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Full-time,Private institutions,Females,Short-cycle tertiary education,Albania,,,,,,,,,,,,412.0,481.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Austria,,,,7576.0,7662.0,8161.0,7933.0,8157.0,8325.0,8378.0,8307.0,9088.0,9416.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Bosnia and Herzegovina,,,,,,,,,,,,,0.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Belgium,,,,4441.0,4766.0,4741.0,4721.0,4454.0,4162.0,4072.0,4893.0,6034.0,5580.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Bulgaria,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education,Switzerland,,,,4537.0,4153.0,4532.0,473.0,126.0,118.0,58.0,41.0,43.0,33.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Cyprus,,,,1769.0,1440.0,1442.0,1238.0,1268.0,1260.0,1210.0,1274.0,963.0,889.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Czechia,,,,101.0,106.0,122.0,149.0,150.0,127.0,105.0,123.0,133.0,147.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Germany,,,,60.0,31.0,20.0,17.0,25.0,19.0,1298.0,1298.0,1441.0,1430.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Denmark,,,,817.0,1024.0,1048.0,940.0,730.0,763.0,729.0,655.0,664.0,625.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Estonia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education,Greece,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education,Spain,,,,33887.0,34673.0,35389.0,34956.0,40178.0,44987.0,46465.0,51004.0,55408.0,57043.0
Full-time,Private institutions,Females,Short-cycle tertiary education,European Union - 27 countries (from 2020),,,,162610.0,156532.0,153426.0,152134.0,159365.0,171083.0,178234.0,189407.0,205853.0,232845.0
Full-time,Private institutions,Females,Short-cycle tertiary education,European Union - 28 countries (2013-2020),,,,225509.0,219600.0,221136.0,228366.0,247145.0,267690.0,303317.0,,,
Full-time,Private institutions,Females,Short-cycle tertiary education,Finland,,,,0.0,0.0,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education,France,,,,96200.0,93397.0,90277.0,89989.0,90696.0,95568.0,98399.0,101769.0,108358.0,126752.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Croatia,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Hungary,,,,8151.0,3462.0,948.0,621.0,689.0,567.0,408.0,362.0,921.0,4008.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Ireland,,,,0.0,38.0,135.0,107.0,23.0,774.0,81.0,98.0,106.0,71.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Iceland,,,,65.0,68.0,70.0,59.0,55.0,36.0,34.0,26.0,43.0,33.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Italy,,,,590.0,1216.0,1637.0,2176.0,2982.0,3652.0,4612.0,5256.0,6102.0,7571.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Liechtenstein,,,,,,,,,,0.0,0.0,0.0,0.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Lithuania,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education,Luxembourg,,,,0.0,0.0,0.0,0.0,0.0,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education,Latvia,,,,1996.0,1549.0,1315.0,1199.0,975.0,919.0,861.0,778.0,930.0,1133.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Montenegro,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education,North Macedonia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education,Malta,,,,0.0,0.0,7.0,24.0,13.0,17.0,79.0,42.0,32.0,48.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Netherlands,,,,,,793.0,718.0,766.0,1248.0,661.0,543.0,543.0,1395.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Norway,,,,1700.0,1479.0,948.0,1150.0,1122.0,1113.0,1106.0,1150.0,1325.0,1689.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Poland,,,,666.0,390.0,169.0,0.0,0.0,0.0,0.0,0.0,179.0,788.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Portugal,,,,,,22.0,390.0,767.0,1088.0,1604.0,2026.0,1992.0,1946.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Romania,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education,Serbia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education,Sweden,,,,5855.0,6342.0,6538.0,6393.0,6898.0,7009.0,8656.0,10388.0,12367.0,13403.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Slovenia,,,,147.0,53.0,235.0,100.0,105.0,119.0,120.0,122.0,110.0,105.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Slovakia,,,,354.0,383.0,428.0,463.0,489.0,479.0,495.0,469.0,483.0,495.0
Full-time,Private institutions,Females,Short-cycle tertiary education,Türkiye,,,,28084.0,36133.0,51604.0,67705.0,75610.0,72726.0,73771.0,81048.0,85702.0,94395.0
Full-time,Private institutions,Females,Short-cycle tertiary education,United Kingdom,,,,62899.0,63068.0,67709.0,76231.0,87780.0,96607.0,125083.0,,,
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Albania,,,,,,,,,,,,13836.0,15438.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Austria,,,,35471.0,36805.0,39245.0,40755.0,42860.0,46461.0,47397.0,49782.0,54637.0,58060.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Bosnia and Herzegovina,,,,,,,,,6423.0,5962.0,5651.0,5730.0,5576.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Belgium,,,,118533.0,119961.0,124427.0,125221.0,135013.0,127630.0,130819.0,132240.0,139090.0,141008.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Bulgaria,,,,11491.0,11059.0,10999.0,9534.0,8304.0,7622.0,7798.0,8120.0,8383.0,8380.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Switzerland,,,,8899.0,9542.0,10085.0,6042.0,6249.0,8013.0,8082.0,8812.0,9089.0,9672.0
