age,sex,level,country,2016,2017,2018,2019,2020,2021,2022
Total,Females,Short-cycle tertiary education,Albania,,,,,,2185.0,2561.0
Total,Females,Short-cycle tertiary education,Austria,41271.0,40562.0,40188.0,39272.0,38738.0,39989.0,40489.0
Total,Females,Short-cycle tertiary education,Bosnia and Herzegovina,,,,,,,28.0
Total,Females,Short-cycle tertiary education,Belgium,15351.0,14696.0,13850.0,13390.0,12400.0,14159.0,14283.0
Total,Females,Short-cycle tertiary education,Bulgaria,,,,,,,
Total,Females,Short-cycle tertiary education,Switzerland,2755.0,2639.0,2603.0,2528.0,2399.0,2036.0,2105.0
Total,Females,Short-cycle tertiary education,Cyprus,1454.0,1462.0,1536.0,1583.0,1661.0,1280.0,1203.0
Total,Females,Short-cycle tertiary education,Czechia,597.0,634.0,628.0,632.0,628.0,654.0,679.0
Total,Females,Short-cycle tertiary education,Germany,215.0,218.0,226.0,4650.0,4572.0,5115.0,5235.0
Total,Females,Short-cycle tertiary education,Denmark,16316.0,16695.0,16458.0,16221.0,16178.0,16363.0,17286.0
Total,Females,Short-cycle tertiary education,Estonia,,,,,,,
Total,Females,Short-cycle tertiary education,Greece,,,,,,,
Total,Females,Short-cycle tertiary education,Spain,177052.0,187230.0,197924.0,206726.0,224438.0,254697.0,270288.0
Total,Females,Short-cycle tertiary education,European Union,556760.0,573468.0,581533.0,613763.0,641951.0,688961.0,703806.0
Total,Females,Short-cycle tertiary education,Finland,,,,,,,
Total,Females,Short-cycle tertiary education,France,243182.0,244610.0,241586.0,257740.0,261852.0,269524.0,260858.0
Total,Females,Short-cycle tertiary education,Croatia,49.0,38.0,11.0,5.0,3.0,1.0,1.0
Total,Females,Short-cycle tertiary education,Hungary,7492.0,8426.0,7540.0,6556.0,6540.0,6694.0,6750.0
Total,Females,Short-cycle tertiary education,Ireland,8664.0,10347.0,10103.0,11113.0,12402.0,11815.0,10612.0
Total,Females,Short-cycle tertiary education,Iceland,253.0,296.0,270.0,350.0,494.0,479.0,396.0
Total,Females,Short-cycle tertiary education,Italy,2176.0,2982.0,3652.0,4612.0,5256.0,6102.0,7571.0
Total,Females,Short-cycle tertiary education,Liechtenstein,,,,0.0,0.0,0.0,0.0
Total,Females,Short-cycle tertiary education,Lithuania,,,,,,,
Total,Females,Short-cycle tertiary education,Luxembourg,355.0,427.0,435.0,455.0,450.0,505.0,482.0
Total,Females,Short-cycle tertiary education,Latvia,9058.0,8463.0,8926.0,9026.0,8705.0,8960.0,9425.0
Total,Females,Short-cycle tertiary education,Montenegro,,,,,,,
Total,Females,Short-cycle tertiary education,North Macedonia,,,,,,,
Total,Females,Short-cycle tertiary education,Malta,1180.0,1127.0,1409.0,1380.0,1441.0,1639.0,1433.0
Total,Females,Short-cycle tertiary education,Netherlands,11496.0,13021.0,13677.0,13587.0,16741.0,18401.0,22376.0
Total,Females,Short-cycle tertiary education,Norway,1515.0,1451.0,1478.0,1561.0,1669.0,1966.0,2448.0
Total,Females,Short-cycle tertiary education,Poland,268.0,176.0,196.0,180.0,165.0,376.0,980.0
Total,Females,Short-cycle tertiary education,Portugal,2306.0,4165.0,4753.0,5794.0,6756.0,6745.0,7015.0
Total,Females,Short-cycle tertiary education,Romania,,,,,,,
Total,Females,Short-cycle tertiary education,Serbia,,,,,,,
