freq,unit,age,sex,isced11,geo,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
A,NR,TOTAL,F,ED5,AL,: ,: ,: ,: ,: ,2185 ,2561 
A,NR,TOTAL,F,ED5,AT,41271 ,40562 ,40188 ,39272 ,38738 ,39989 ,40489 
A,NR,TOTAL,F,ED5,BA,: ,: ,: z,: z,: z,: z,28 
A,NR,TOTAL,F,ED5,BE,15351 ,14696 ,13850 ,13390 ,12400 bd,14159 ,14283 
A,NR,TOTAL,F,ED5,BG,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED5,CH,2755 ,2639 ,2603 ,2528 ,2399 ,2036 ,2105 
A,NR,TOTAL,F,ED5,CY,1454 ,1462 ,1536 ,1583 ,1661 ,1280 ,1203 
A,NR,TOTAL,F,ED5,CZ,597 ,634 ,628 ,632 ,628 ,654 ,679 
A,NR,TOTAL,F,ED5,DE,215 ,218 ,226 ,4650 ,4572 ,5115 ,5235 
A,NR,TOTAL,F,ED5,DK,16316 ,16695 ,16458 ,16221 ,16178 ,16363 ,17286 
A,NR,TOTAL,F,ED5,EE,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED5,EL,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED5,ES,177052 ,187230 ,197924 ,206726 ,224438 ,254697 ,270288 
A,NR,TOTAL,F,ED5,EU27_2020,556760 ,573468 ,581533 ,613763 ,641951 ,688961 ,703806 
A,NR,TOTAL,F,ED5,EU28,729615 ,747245 ,750346 ,807132 ,: ,: ,: 
A,NR,TOTAL,F,ED5,FI,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED5,FR,243182 ,244610 ,241586 ,257740 ,261852 ,269524 ,260858 
A,NR,TOTAL,F,ED5,HR,49 ,38 ,11 ,5 ,3 ,1 ,1 
A,NR,TOTAL,F,ED5,HU,7492 ,8426 ,7540 ,6556 ,6540 ,6694 ,6750 
A,NR,TOTAL,F,ED5,IE,8664 ,10347 ,10103 d,11113 ,12402 ,11815 ,10612 
A,NR,TOTAL,F,ED5,IS,253 ,296 ,270 ,350 ,494 ,479 ,396 
A,NR,TOTAL,F,ED5,IT,2176 ,2982 ,3652 ,4612 ,5256 ,6102 ,7571 
A,NR,TOTAL,F,ED5,LI,: z,: z,: z,0 ,0 ,0 ,0 
A,NR,TOTAL,F,ED5,LT,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED5,LU,355 ,427 ,435 ,455 ,450 ,505 ,482 
A,NR,TOTAL,F,ED5,LV,9058 ,8463 ,8926 ,9026 ,8705 ,8960 ,9425 
A,NR,TOTAL,F,ED5,ME,: z,: z,: z,: z,: z,: z,: 
A,NR,TOTAL,F,ED5,MK,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED5,MT,1180 ,1127 ,1409 ,1380 ,1441 ,1639 ,1433 
A,NR,TOTAL,F,ED5,NL,11496 ,13021 ,13677 ,13587 ,16741 ,18401 ,22376 
A,NR,TOTAL,F,ED5,NO,1515 ,1451 ,1478 ,1561 ,1669 ,1966 ,2448 
A,NR,TOTAL,F,ED5,PL,268 ,176 ,196 e,180 ,165 e,376 ,980 
A,NR,TOTAL,F,ED5,PT,2306 ,4165 ,4753 ,5794 ,6756 ,6745 ,7015 
A,NR,TOTAL,F,ED5,RO,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED5,RS,: z,: z,: z,: z,: z,: z,: z
A,NR,TOTAL,F,ED5,SE,11905 ,11937 ,12574 ,15133 ,17372 ,20313 ,21168 
A,NR,TOTAL,F,ED5,SI,4606 ,4465 ,4134 ,4071 ,4106 ,4065 ,4082 
A,NR,TOTAL,F,ED5,SK,1767 ,1787 ,1727 ,1637 ,1547 ,1565 ,1590 
A,NR,TOTAL,F,ED5,TR,1087063 ,1220155 ,1344391 ,1418969 ,1526121 ,1608714 ,1682677 
A,NR,TOTAL,F,ED5,UK,172855 d,173777 d,168813 d,193369 d,: ,: ,: 
A,NR,TOTAL,F,ED5-8,AL,: ,: ,: ,: ,: ,74821 ,73493 
A,NR,TOTAL,F,ED5-8,AT,228708 ,227452 ,227756 ,225671 ,226603 ,237796 ,239830 
A,NR,TOTAL,F,ED5-8,BA,: ,: ,54283 ,52009 ,48875 ,49218 ,47670 
A,NR,TOTAL,F,ED5-8,BE,283066 ,293031 ,286471 ,291298 ,292129 bd,303932 ,309621 
A,NR,TOTAL,F,ED5-8,BG,143799 ,134303 ,126871 ,123952 ,122373 ,123328 ,125714 
A,NR,TOTAL,F,ED5-8,CH,146395 ,149455 ,152824 ,156644 ,161428 ,169427 ,173987 
A,NR,TOTAL,F,ED5-8,CY,22081 ,24432 ,25047 ,26726 ,28800 ,30073 ,31322 
