unit,sector,cofog99,country,2018,2019,2020,2021,2022
Million euro,General government,Housing and community amenities,Austria,1255.0,1175.0,1046.0,1211.0,1309.0
Million euro,General government,Housing and community amenities,Belgium,1565.0,1687.0,1761.0,1824.0,2015.0
Million euro,General government,Housing and community amenities,Bulgaria,593.0,748.0,465.0,679.0,763.0
Million euro,General government,Housing and community amenities,Switzerland,1164.0,1301.0,1418.0,1411.0,1544.0
Million euro,General government,Housing and community amenities,Cyprus,321.0,346.0,325.0,474.0,551.0
Million euro,General government,Housing and community amenities,Czechia,1627.0,1491.0,1409.0,1488.0,1831.0
Million euro,General government,Housing and community amenities,Germany,13359.0,14551.0,17988.0,17364.0,17979.0
Million euro,General government,Housing and community amenities,Denmark,693.0,616.0,497.0,392.0,613.0
Million euro,General government,Housing and community amenities,Euro area - 19 countries  (2015-2022),62911.0,67109.0,74231.0,113852.0,137608.0
Million euro,General government,Housing and community amenities,Euro area – 20 countries (from 2023),63571.0,67883.0,75084.0,114995.0,138889.0
Million euro,General government,Housing and community amenities,Estonia,86.0,113.0,111.0,145.0,162.0
Million euro,General government,Housing and community amenities,Greece,444.0,412.0,471.0,496.0,585.0
Million euro,General government,Housing and community amenities,Spain,5261.0,5304.0,5151.0,5783.0,6493.0
Million euro,General government,Housing and community amenities,European Union - 27 countries (from 2020),75785.0,80598.0,87426.0,127962.0,154119.0
Million euro,General government,Housing and community amenities,Finland,706.0,765.0,782.0,1009.0,1082.0
Million euro,General government,Housing and community amenities,France,24441.0,25779.0,27562.0,31302.0,32452.0
Million euro,General government,Housing and community amenities,Croatia,660.0,773.0,852.0,1142.0,1280.0
Million euro,General government,Housing and community amenities,Hungary,917.0,1088.0,1289.0,1243.0,1367.0
Million euro,General government,Housing and community amenities,Ireland,1872.0,1984.0,2240.0,2094.0,2531.0
Million euro,General government,Housing and community amenities,Iceland,141.0,132.0,125.0,134.0,143.0
Million euro,General government,Housing and community amenities,Italy,7551.0,8685.0,10157.0,44988.0,64558.0
Million euro,General government,Housing and community amenities,Lithuania,226.0,237.0,315.0,347.0,418.0
Million euro,General government,Housing and community amenities,Luxembourg,343.0,357.0,270.0,325.0,358.0
Million euro,General government,Housing and community amenities,Latvia,326.0,314.0,347.0,333.0,318.0
Million euro,General government,Housing and community amenities,Malta,81.0,102.0,86.0,85.0,111.0
Million euro,General government,Housing and community amenities,Netherlands,3456.0,3635.0,3765.0,4066.0,4584.0
