freq,unit,sector,cofog99,na_item,geo,2018 ,2019 ,2020 ,2021 ,2022 
A,MIO_EUR,S13,GF06,TE,AT,1255.3 ,1175.0 ,1046.8 ,1211.6 ,1309.4 
A,MIO_EUR,S13,GF06,TE,BE,1565.5 ,1687.1 ,1761.5 ,1824.1 ,2015.8 p
A,MIO_EUR,S13,GF06,TE,BG,593.4 ,748.8 ,465.5 ,679.5 ,763.9 
A,MIO_EUR,S13,GF06,TE,CH,1164.0 ,1301.4 ,1418.6 ,1411.6 ,1544.4 
A,MIO_EUR,S13,GF06,TE,CY,321.9 ,346.2 ,325.6 ,474.7 ,551.2 
A,MIO_EUR,S13,GF06,TE,CZ,1627.3 ,1491.1 ,1409.9 ,1488.4 ,1831.4 
A,MIO_EUR,S13,GF06,TE,DE,13359.0 ,14551.0 ,17988.0 p,17364.0 p,17979.0 p
A,MIO_EUR,S13,GF06,TE,DK,693.9 ,616.8 ,497.8 ,392.5 ,613.6 
A,MIO_EUR,S13,GF06,TE,EA19,62911.2 ,67109.3 ,74231.3 ,113852.6 ,137608.7 
A,MIO_EUR,S13,GF06,TE,EA20,63571.6 ,67883.0 ,75084.2 ,114995.5 ,138889.3 
A,MIO_EUR,S13,GF06,TE,EE,86.5 ,113.1 ,111.0 ,145.1 ,162.9 
A,MIO_EUR,S13,GF06,TE,EL,444.0 ,412.0 ,471.0 ,496.0 ,585.0 
A,MIO_EUR,S13,GF06,TE,ES,5261.0 ,5304.0 ,5151.0 ,5783.0 ,6493.0 p
A,MIO_EUR,S13,GF06,TE,EU27_2020,75785.1 ,80598.7 ,87426.0 ,127962.0 ,154119.2 
A,MIO_EUR,S13,GF06,TE,FI,706.0 ,765.0 ,782.0 ,1009.0 ,1082.0 
A,MIO_EUR,S13,GF06,TE,FR,24441.0 ,25779.0 ,27562.0 ,31302.0 p,32452.0 p
A,MIO_EUR,S13,GF06,TE,HR,660.4 ,773.7 ,852.8 ,1142.9 ,1280.5 
A,MIO_EUR,S13,GF06,TE,HU,917.4 ,1088.7 ,1289.9 ,1243.8 ,1367.0 
A,MIO_EUR,S13,GF06,TE,IE,1872.8 ,1984.4 ,2240.2 ,2094.4 ,2531.9 
A,MIO_EUR,S13,GF06,TE,IS,141.8 ,132.7 ,125.0 ,134.5 ,143.3 
A,MIO_EUR,S13,GF06,TE,IT,7551.6 ,8685.6 ,10157.3 ,44988.3 ,64558.2 
A,MIO_EUR,S13,GF06,TE,LT,226.0 ,237.6 ,315.0 ,347.0 ,418.2 
A,MIO_EUR,S13,GF06,TE,LU,343.4 ,357.1 ,270.7 ,325.2 ,358.9 
A,MIO_EUR,S13,GF06,TE,LV,326.6 ,314.4 ,347.3 ,333.9 ,318.9 
A,MIO_EUR,S13,GF06,TE,MT,81.5 ,102.6 ,86.4 ,85.5 ,111.0 
A,MIO_EUR,S13,GF06,TE,NL,3456.0 ,3635.0 ,3765.0 ,4066.0 ,4584.0 
A,MIO_EUR,S13,GF06,TE,NO,2916.7 ,2984.2 ,2927.5 ,3000.7 ,3554.5 
A,MIO_EUR,S13,GF06,TE,PL,2945.5 ,2892.1 ,2547.7 ,2679.3 ,3276.0 
A,MIO_EUR,S13,GF06,TE,PT,944.4 ,971.8 ,1124.7 ,1263.3 ,1314.0 p
A,MIO_EUR,S13,GF06,TE,RO,1937.3 ,2500.8 ,2583.9 ,2840.2 ,3399.1 
A,MIO_EUR,S13,GF06,TE,SE,3498.7 ,3377.3 ,3547.0 ,3642.8 ,3978.9 
A,MIO_EUR,S13,GF06,TE,SI,205.8 ,201.2 ,273.2 ,279.7 ,272.4 
A,MIO_EUR,S13,GF06,TE,SK,462.9 ,487.2 ,452.8 ,459.8 ,510.9 
A,MIO_EUR,S13,GF0602,TE,AT,160.6 ,160.3 ,163.2 ,181.1 ,193.1 
A,MIO_EUR,S13,GF0602,TE,BE,628.8 ,638.2 ,646.4 ,639.0 ,710.5 p
A,MIO_EUR,S13,GF0602,TE,BG,65.1 ,72.5 ,65.6 ,78.6 ,96.0 
A,MIO_EUR,S13,GF0602,TE,CH,381.0 ,459.6 ,492.0 ,491.8 ,559.5 
A,MIO_EUR,S13,GF0602,TE,CY,131.4 ,143.6 ,155.1 ,219.7 ,253.0 
A,MIO_EUR,S13,GF0602,TE,CZ,580.4 ,464.6 ,405.5 ,366.4 ,515.0 
A,MIO_EUR,S13,GF0602,TE,DE,6692.0 ,6908.0 ,7263.0 p,7388.0 p,8185.0 p
A,MIO_EUR,S13,GF0602,TE,DK,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
A,MIO_EUR,S13,GF0602,TE,EA19,27457.0 ,31032.6 ,29326.0 ,31323.1 ,34210.5 
A,MIO_EUR,S13,GF0602,TE,EA20,27700.4 ,31292.1 ,29576.5 ,31617.4 ,34533.9 
A,MIO_EUR,S13,GF0602,TE,EE,17.8 ,21.1 ,20.8 ,23.8 ,25.6 
A,MIO_EUR,S13,GF0602,TE,EL,1.0 ,1.0 ,1.0 ,2.0 ,2.0 
A,MIO_EUR,S13,GF0602,TE,ES,731.0 ,423.0 ,410.0 ,509.0 ,553.0 p
A,MIO_EUR,S13,GF0602,TE,EU27_2020,30404.9 ,33976.7 ,32200.3 ,34291.1 ,37632.6 
A,MIO_EUR,S13,GF0602,TE,FI,484.0 ,486.0 ,469.0 ,642.0 ,671.0 
A,MIO_EUR,S13,GF0602,TE,FR,13610.0 ,15401.0 ,14183.0 ,15143.0 p,16551.0 p
A,MIO_EUR,S13,GF0602,TE,HR,243.5 ,259.5 ,250.5 ,294.3 ,323.5 
A,MIO_EUR,S13,GF0602,TE,HU,38.9 ,95.7 ,195.4 ,182.7 ,325.2 
A,MIO_EUR,S13,GF0602,TE,IE,416.1 ,436.6 ,432.9 ,419.5 ,501.6 
A,MIO_EUR,S13,GF0602,TE,IS,88.9 ,79.7 ,68.2 ,82.3 ,99.5 
A,MIO_EUR,S13,GF0602,TE,IT,2499.0 ,4166.0 ,3309.0 ,3595.0 ,3776.0 
A,MIO_EUR,S13,GF0602,TE,LT,143.6 ,147.2 ,173.8 ,149.3 ,189.6 
A,MIO_EUR,S13,GF0602,TE,LU,91.9 ,95.2 ,60.1 ,76.5 ,66.6 
A,MIO_EUR,S13,GF0602,TE,LV,103.0 ,97.7 ,104.3 ,101.7 ,95.8 
A,MIO_EUR,S13,GF0602,TE,MT,40.9 ,47.9 ,43.7 ,46.7 ,60.9 
A,MIO_EUR,S13,GF0602,TE,NL,1101.0 ,1256.0 ,1289.0 ,1519.0 ,1644.0 
A,MIO_EUR,S13,GF0602,TE,NO,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
A,MIO_EUR,S13,GF0602,TE,PL,268.9 ,258.4 ,178.8 ,209.6 ,262.7 
A,MIO_EUR,S13,GF0602,TE,PT,361.8 ,359.0 ,369.8 ,426.0 ,453.0 p
A,MIO_EUR,S13,GF0602,TE,RO,206.1 ,297.9 ,290.4 ,308.0 ,350.9 
A,MIO_EUR,S13,GF0602,TE,SE,1545.1 ,1495.5 ,1488.1 ,1528.3 ,1548.8 
A,MIO_EUR,S13,GF0602,TE,SI,15.8 ,12.6 ,15.0 ,19.5 ,20.3 
A,MIO_EUR,S13,GF0602,TE,SK,227.2 ,232.2 ,216.9 ,222.4 ,258.3 
A,MIO_EUR,S13,GF07,TE,AT,31770.2 ,32971.5 ,35132.8 ,40840.4 ,41735.6 
A,MIO_EUR,S13,GF07,TE,BE,35116.6 ,36353.2 ,40151.0 ,43435.6 ,44951.9 p
A,MIO_EUR,S13,GF07,TE,BG,2786.0 ,2845.5 ,3600.0 ,4151.2 ,4767.3 
A,MIO_EUR,S13,GF07,TE,CH,13042.8 ,14085.7 ,16800.6 ,19011.3 ,18018.9 
A,MIO_EUR,S13,GF07,TE,CY,568.9 ,811.8 ,1306.0 ,1641.7 ,1720.2 
A,MIO_EUR,S13,GF07,TE,CZ,15791.5 ,17035.9 ,20151.8 ,23419.7 ,25149.8 
A,MIO_EUR,S13,GF07,TE,DE,241457.0 ,253019.0 ,287849.0 p,314180.0 p,330286.0 p
A,MIO_EUR,S13,GF07,TE,DK,25075.7 ,25933.6 ,27956.3 ,31185.4 ,30304.5 
A,MIO_EUR,S13,GF07,TE,EA19,820358.6 ,851757.2 ,937926.4 ,1023113.7 ,1060776.1 
A,MIO_EUR,S13,GF07,TE,EA20,824029.2 ,855800.3 ,942337.2 ,1027991.4 ,1065990.7 
A,MIO_EUR,S13,GF07,TE,EE,1410.3 ,1578.5 ,1800.1 ,2040.3 ,2153.8 
A,MIO_EUR,S13,GF07,TE,EL,10004.0 ,10546.0 ,11100.0 ,12105.0 ,12371.0 
A,MIO_EUR,S13,GF07,TE,ES,72157.0 ,75929.0 ,85503.0 ,88562.0 ,93126.0 p
A,MIO_EUR,S13,GF07,TE,EU27_2020,941144.3 ,979369.8 ,1079065.4 ,1181992.0 ,1221568.7 
A,MIO_EUR,S13,GF07,TE,FI,16513.0 ,17114.0 ,18154.0 ,19381.0 ,19942.0 
A,MIO_EUR,S13,GF07,TE,FR,189699.0 ,194017.0 ,205443.0 ,230827.0 p,240125.0 p
A,MIO_EUR,S13,GF07,TE,HR,3670.6 ,4043.1 ,4410.8 ,4877.8 ,5214.6 
A,MIO_EUR,S13,GF07,TE,HU,6323.4 ,6641.9 ,8778.3 ,8720.6 ,7491.7 
A,MIO_EUR,S13,GF07,TE,IE,15823.2 ,16997.4 ,20647.5 ,22683.9 ,24838.4 
A,MIO_EUR,S13,GF07,TE,IS,1724.3 ,1731.8 ,1640.9 ,1950.3 ,2307.9 
A,MIO_EUR,S13,GF07,TE,IT,120673.0 ,122303.0 ,130978.0 ,135648.0 ,138379.0 
A,MIO_EUR,S13,GF07,TE,LT,2175.8 ,2473.3 ,2942.5 ,3308.3 ,3476.5 
A,MIO_EUR,S13,GF07,TE,LU,3084.6 ,3232.8 ,3735.7 ,3917.9 ,4152.4 
A,MIO_EUR,S13,GF07,TE,LV,1171.5 ,1277.4 ,1414.3 ,2105.3 ,1848.6 
A,MIO_EUR,S13,GF07,TE,MT,661.0 ,732.2 ,935.3 ,997.9 ,966.1 
A,MIO_EUR,S13,GF07,TE,NL,56857.0 ,59837.0 ,66413.0 ,73782.0 ,72073.0 
A,MIO_EUR,S13,GF07,TE,NO,30304.4 ,31487.8 ,30646.6 ,35551.8 ,37799.9 
A,MIO_EUR,S13,GF07,TE,PL,23921.4 ,26035.5 ,28219.8 ,33184.2 ,34611.6 
A,MIO_EUR,S13,GF07,TE,PT,13252.3 ,13915.0 ,14963.1 ,16437.8 ,17265.3 p
A,MIO_EUR,S13,GF07,TE,RO,9517.7 ,11163.5 ,12056.3 ,13203.5 ,13907.1 
A,MIO_EUR,S13,GF07,TE,SE,33699.4 ,33913.6 ,35965.7 ,40135.8 ,39346.1 
A,MIO_EUR,S13,GF07,TE,SI,2994.5 ,3230.9 ,3763.5 ,4303.8 ,4344.4 
A,MIO_EUR,S13,GF07,TE,SK,4969.7 ,5418.4 ,5694.7 ,6915.8 ,7021.0 
A,MIO_EUR,S13,GF0701,TE,AT,4266.1 ,4399.8 ,4613.4 ,4911.3 ,5197.6 
A,MIO_EUR,S13,GF0701,TE,BE,3554.0 ,3710.3 ,3641.8 ,4027.9 ,4300.6 p
A,MIO_EUR,S13,GF0701,TE,BG,368.9 ,451.0 ,460.1 ,477.8 ,596.9 
A,MIO_EUR,S13,GF0701,TE,CH,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
A,MIO_EUR,S13,GF0701,TE,CY,131.0 ,187.5 ,243.0 ,327.2 ,272.6 
A,MIO_EUR,S13,GF0701,TE,CZ,1851.4 ,1948.1 ,1975.7 ,2204.6 ,2344.4 
A,MIO_EUR,S13,GF0701,TE,DE,54157.0 ,57504.0 ,60174.0 p,64991.0 p,67871.0 p
A,MIO_EUR,S13,GF0701,TE,DK,1630.6 ,1706.2 ,1791.1 ,1786.3 ,1844.3 
A,MIO_EUR,S13,GF0701,TE,EA19,141291.8 ,145528.2 ,150850.7 ,158884.0 ,168179.1 
A,MIO_EUR,S13,GF0701,TE,EA20,141882.6 ,146163.6 ,151541.4 ,159609.4 ,168950.5 
A,MIO_EUR,S13,GF0701,TE,EE,194.9 ,200.8 ,208.9 ,223.2 ,260.7 
A,MIO_EUR,S13,GF0701,TE,EL,2631.0 ,2816.0 ,2971.0 ,2819.0 ,2993.0 
A,MIO_EUR,S13,GF0701,TE,ES,11663.0 ,11956.0 ,12992.0 ,13249.0 ,13826.0 p
A,MIO_EUR,S13,GF0701,TE,EU27_2020,152619.9 ,157599.3 ,163033.7 ,171606.5 ,181547.8 
A,MIO_EUR,S13,GF0701,TE,FI,1497.0 ,1581.0 ,1683.0 ,1760.0 ,1844.0 
A,MIO_EUR,S13,GF0701,TE,FR,33369.0 ,34010.0 ,33893.0 ,36048.0 p,39363.0 p
A,MIO_EUR,S13,GF0701,TE,HR,590.8 ,635.4 ,690.6 ,725.4 ,771.4 
A,MIO_EUR,S13,GF0701,TE,HU,1118.6 ,1171.3 ,1135.8 ,1139.4 ,1093.9 
A,MIO_EUR,S13,GF0701,TE,IE,2253.9 ,2340.4 ,2478.5 ,2661.2 ,2860.5 
A,MIO_EUR,S13,GF0701,TE,IS,109.7 ,116.4 ,119.2 ,137.9 ,156.7 
A,MIO_EUR,S13,GF0701,TE,IT,17755.0 ,16427.0 ,17362.0 ,16874.0 ,17386.0 
A,MIO_EUR,S13,GF0701,TE,LT,333.1 ,417.3 ,439.1 ,497.7 ,582.4 
A,MIO_EUR,S13,GF0701,TE,LU,1025.7 ,1059.6 ,1256.1 ,1210.9 ,1352.7 
A,MIO_EUR,S13,GF0701,TE,LV,177.1 ,170.9 ,185.3 ,192.0 ,216.7 
A,MIO_EUR,S13,GF0701,TE,MT,76.8 ,82.9 ,83.3 ,86.4 ,108.6 
A,MIO_EUR,S13,GF0701,TE,NL,5754.0 ,6040.0 ,5935.0 ,6167.0 ,6664.0 
A,MIO_EUR,S13,GF0701,TE,NO,1854.5 ,1810.2 ,1709.2 ,1956.5 ,2130.5 
A,MIO_EUR,S13,GF0701,TE,PL,305.8 ,332.4 ,306.4 ,320.0 ,347.4 
A,MIO_EUR,S13,GF0701,TE,PT,1137.3 ,1259.5 ,1370.7 ,1396.1 ,1465.1 p
A,MIO_EUR,S13,GF0701,TE,RO,1920.9 ,2281.3 ,2108.3 ,2063.3 ,2289.0 
A,MIO_EUR,S13,GF0701,TE,SE,3541.0 ,3545.2 ,3714.9 ,4005.6 ,4081.3 
A,MIO_EUR,S13,GF0701,TE,SI,429.1 ,464.8 ,477.8 ,526.1 ,604.7 
A,MIO_EUR,S13,GF0701,TE,SK,886.9 ,900.5 ,842.9 ,916.0 ,1009.9 
A,MIO_EUR,S13,GF0702,TE,AT,5808.9 ,6169.7 ,6139.1 ,6731.5 ,7223.5 
A,MIO_EUR,S13,GF0702,TE,BE,13209.4 ,13836.7 ,13762.8 ,15234.3 ,15904.9 p
A,MIO_EUR,S13,GF0702,TE,BG,299.2 ,342.4 ,436.4 ,490.6 ,650.6 
A,MIO_EUR,S13,GF0702,TE,CH,1152.1 ,1285.4 ,1448.2 ,1485.7 ,1672.7 
A,MIO_EUR,S13,GF0702,TE,CY,11.2 ,133.4 ,329.2 ,383.6 ,388.3 
A,MIO_EUR,S13,GF0702,TE,CZ,3224.3 ,3560.0 ,4171.3 ,4629.6 ,5073.7 
A,MIO_EUR,S13,GF0702,TE,DE,73275.0 ,77313.0 ,80729.0 p,84720.0 p,88205.0 p
A,MIO_EUR,S13,GF0702,TE,DK,3654.0 ,3790.7 ,3840.3 ,4025.3 ,4188.0 
A,MIO_EUR,S13,GF0702,TE,EA19,272113.6 ,284714.8 ,294898.0 ,318228.2 ,329465.6 
A,MIO_EUR,S13,GF0702,TE,EA20,272803.5 ,285464.6 ,295680.5 ,319018.1 ,330290.1 
A,MIO_EUR,S13,GF0702,TE,EE,146.0 ,161.8 ,172.5 ,188.9 ,213.9 
A,MIO_EUR,S13,GF0702,TE,EL,1005.0 ,1047.0 ,1043.0 ,1211.0 ,1310.0 
A,MIO_EUR,S13,GF0702,TE,ES,26487.0 ,28078.0 ,31058.0 ,32164.0 ,33691.0 p
A,MIO_EUR,S13,GF0702,TE,EU27_2020,304021.4 ,318326.2 ,330560.0 ,358575.7 ,371333.7 
A,MIO_EUR,S13,GF0702,TE,FI,7363.0 ,7621.0 ,8011.0 ,8532.0 ,8817.0 
A,MIO_EUR,S13,GF0702,TE,FR,68721.0 ,70571.0 ,70861.0 ,81859.0 p,83226.0 p
A,MIO_EUR,S13,GF0702,TE,HR,689.9 ,749.7 ,782.5 ,789.9 ,824.5 
A,MIO_EUR,S13,GF0702,TE,HU,1791.2 ,1848.1 ,1892.9 ,2186.3 ,2207.3 
A,MIO_EUR,S13,GF0702,TE,IE,5882.9 ,6498.8 ,7312.6 ,7990.8 ,8756.8 
A,MIO_EUR,S13,GF0702,TE,IS,392.6 ,399.1 ,370.6 ,443.9 ,501.6 
A,MIO_EUR,S13,GF0702,TE,IT,43560.0 ,45352.0 ,47153.0 ,48841.0 ,49845.0 
A,MIO_EUR,S13,GF0702,TE,LT,690.6 ,775.4 ,914.1 ,1063.5 ,1070.5 
A,MIO_EUR,S13,GF0702,TE,LU,625.1 ,674.4 ,719.6 ,788.4 ,908.1 
A,MIO_EUR,S13,GF0702,TE,LV,286.0 ,312.9 ,315.0 ,634.5 ,419.2 
A,MIO_EUR,S13,GF0702,TE,MT,120.7 ,123.9 ,135.4 ,165.8 ,174.7 
A,MIO_EUR,S13,GF0702,TE,NL,18783.0 ,19624.0 ,20018.0 ,20565.0 ,21936.0 
A,MIO_EUR,S13,GF0702,TE,NO,7044.3 ,7222.3 ,7079.2 ,8432.4 ,8803.5 
A,MIO_EUR,S13,GF0702,TE,PL,7057.2 ,7664.4 ,8016.1 ,9848.1 ,10733.8 
A,MIO_EUR,S13,GF0702,TE,PT,4037.3 ,4083.5 ,3789.4 ,4406.1 ,4513.5 p
A,MIO_EUR,S13,GF0702,TE,RO,275.1 ,275.3 ,295.6 ,339.2 ,429.2 
A,MIO_EUR,S13,GF0702,TE,SE,14916.9 ,15380.6 ,16227.0 ,18038.5 ,17761.1 
