freq,unit,sector,cofog99,na_item,geo\TIME_PERIOD	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,S13,GF07,TE,AT	29223.8 	30239.1 	31770.2 	32971.5 	35132.8 	40840.4 	41735.6 
A,MIO_EUR,S13,GF07,TE,BE	32788.8 	33787.7 	35116.6 	36353.2 	40151.0 	43435.6 	44951.9 p
A,MIO_EUR,S13,GF07,TE,BG	2414.3 	2547.3 	2786.0 	2845.5 	3600.0 	4151.2 	4767.3 
A,MIO_EUR,S13,GF07,TE,CH	13414.8 	13002.7 	13042.8 	14085.7 	16800.6 	19011.3 	18018.9 
A,MIO_EUR,S13,GF07,TE,CY	474.8 	506.3 	568.9 	811.8 	1306.0 	1641.7 	1720.2 
A,MIO_EUR,S13,GF07,TE,CZ	13162.8 	14339.8 	15791.5 	17035.9 	20151.8 	23419.7 	25149.8 
A,MIO_EUR,S13,GF07,TE,DE	225794.0 	232702.0 	241457.0 	253019.0 	287849.0 p	314180.0 p	330286.0 p
A,MIO_EUR,S13,GF07,TE,DK	23883.8 	24537.5 	25075.7 	25933.6 	27956.3 	31185.4 	30304.5 
A,MIO_EUR,S13,GF07,TE,EA19	772457.6 	792791.7 	820358.6 	851757.2 	937926.4 	1023113.7 	1060776.1 
A,MIO_EUR,S13,GF07,TE,EA20	775599.5 	796183.4 	824029.2 	855800.3 	942337.2 	1027991.4 	1065990.7 
A,MIO_EUR,S13,GF07,TE,EE	1174.9 	1250.1 	1410.3 	1578.5 	1800.1 	2040.3 	2153.8 
A,MIO_EUR,S13,GF07,TE,EL	9306.0 	9685.0 	10004.0 	10546.0 	11100.0 	12105.0 	12371.0 
A,MIO_EUR,S13,GF07,TE,ES	67724.0 	69312.0 	72157.0 	75929.0 	85503.0 	88562.0 	93126.0 p
A,MIO_EUR,S13,GF07,TE,EU27_2020	879857.0 	907153.8 	941144.3 	979369.8 	1079065.4 	1181992.0 	1221568.7 
A,MIO_EUR,S13,GF07,TE,FI	15616.0 	15868.0 	16513.0 	17114.0 	18154.0 	19381.0 	19942.0 
A,MIO_EUR,S13,GF07,TE,FR	181527.0 	186344.0 	189699.0 	194017.0 	205443.0 	230827.0 p	240125.0 p
A,MIO_EUR,S13,GF07,TE,HR	3141.9 	3391.8 	3670.6 	4043.1 	4410.8 	4877.8 	5214.6 
A,MIO_EUR,S13,GF07,TE,HU	5482.3 	5949.1 	6323.4 	6641.9 	8778.3 	8720.6 	7491.7 
A,MIO_EUR,S13,GF07,TE,IE	14108.1 	14822.9 	15823.2 	16997.4 	20647.5 	22683.9 	24838.4 
A,MIO_EUR,S13,GF07,TE,IS	1383.6 	1655.8 	1724.3 	1731.8 	1640.9 	1950.3 	2307.9 
A,MIO_EUR,S13,GF07,TE,IT	117191.0 	118388.0 	120673.0 	122303.0 	130978.0 	135648.0 	138379.0 
A,MIO_EUR,S13,GF07,TE,LT	1848.9 	1936.1 	2175.8 	2473.3 	2942.5 	3308.3 	3476.5 
A,MIO_EUR,S13,GF07,TE,LU	2679.7 	2901.9 	3084.6 	3232.8 	3735.7 	3917.9 	4152.4 
A,MIO_EUR,S13,GF07,TE,LV	935.3 	947.0 	1171.5 	1277.4 	1414.3 	2105.3 	1848.6 
A,MIO_EUR,S13,GF07,TE,MT	558.2 	609.7 	661.0 	732.2 	935.3 	997.9 	966.1 
A,MIO_EUR,S13,GF07,TE,NL	51352.0 	53792.0 	56857.0 	59837.0 	66413.0 	73782.0 	72073.0 
A,MIO_EUR,S13,GF07,TE,NO	28718.3 	29714.9 	30304.4 	31487.8 	30646.6 	35551.8 	37799.9 
A,MIO_EUR,S13,GF07,TE,PL	19755.7 	21888.5 	23921.4 	26035.5 	28219.8 	33184.2 	34611.6 
A,MIO_EUR,S13,GF07,TE,PT	11387.8 	12240.6 	13252.3 	13915.0 	14963.1 	16437.8 	17265.3 p
A,MIO_EUR,S13,GF07,TE,RO	6878.1 	8118.9 	9517.7 	11163.5 	12056.3 	13203.5 	13907.1 
A,MIO_EUR,S13,GF07,TE,SE	32680.5 	33589.2 	33699.4 	33913.6 	35965.7 	40135.8 	39346.1 
A,MIO_EUR,S13,GF07,TE,SI	2709.5 	2821.6 	2994.5 	3230.9 	3763.5 	4303.8 	4344.4 
A,MIO_EUR,S13,GF07,TE,SK	6058.0 	4637.5 	4969.7 	5418.4 	5694.7 	6915.8 	7021.0 
A,MIO_EUR,S13,TOTAL,TE,AT	179059.0 	182091.3 	187850.6 	193308.6 	216367.0 	227664.2 	237757.2 
A,MIO_EUR,S13,TOTAL,TE,BE	228451.6 	231561.0 	240446.2 	248477.9 	270703.2 	278573.3 	294508.2 p
A,MIO_EUR,S13,TOTAL,TE,BG	16952.3 	18265.6 	20770.3 	22343.8 	25573.3 	29615.7 	35482.8 
A,MIO_EUR,S13,TOTAL,TE,CH	209360.8 	207556.2 	202659.9 	214327.4 	249450.7 	245902.6 	256438.8 
A,MIO_EUR,S13,TOTAL,TE,CY	7089.5 	7395.9 	9236.1 	8919.3 	9767.0 	10445.3 	10780.2 
A,MIO_EUR,S13,TOTAL,TE,CZ	70533.6 	75673.2 	85642.7 	92623.1 	101900.7 	110803.7 	123187.5 
A,MIO_EUR,S13,TOTAL,TE,DE	1390374.0 	1443273.0 	1491601.0 	1563438.0 	1717583.0 p	1842603.0 p	1918143.0 p
A,MIO_EUR,S13,TOTAL,TE,DK	148572.1 	149024.1 	152822.0 	153734.9 	166503.0 	170811.4 	171186.0 
A,MIO_EUR,S13,TOTAL,TE,EA19	5165341.8 	5291404.7 	5438795.2 	5628315.5 	6129822.7 	6485628.7 	6781895.8 
A,MIO_EUR,S13,TOTAL,TE,EA20	5187159.8 	5313606.2 	5462752.1 	5654064.1 	6157121.5 	6514011.4 	6812431.0 
A,MIO_EUR,S13,TOTAL,TE,EE	8568.1 	9351.4 	10183.9 	10937.6 	12308.0 	13056.3 	14323.9 
A,MIO_EUR,S13,TOTAL,TE,EL	87744.0 	86172.0 	87779.0 	88276.0 	99332.0 	104678.0 	109252.0 
