freq,unit,icha11_hc,geo,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
A,EUR_HAB,TOT_HC,AT,3855.27 ,3928.93 ,4041.59 ,4129.77 ,4237.37 ,4359.69 ,4510.08 ,4690.47 ,4833.86 ,5498.80 ,5518.49 ,: 
A,EUR_HAB,TOT_HC,BA,: ,337.05 ,346.08 ,372.37 ,402.60 ,409.09 ,434.88 ,: ,: ,: ,: ,: 
A,EUR_HAB,TOT_HC,BE,3651.59 ,3722.91 ,3814.10 ,3990.56 ,4096.58 ,4225.93 ,4372.70 ,4482.91 ,4498.15 ,4843.02 ,5104.86 ,: 
A,EUR_HAB,TOT_HC,BG,436.06 ,413.42 ,457.59 ,471.74 ,510.22 ,556.20 ,586.55 ,625.59 ,753.65 ,890.50 ,989.78 ,: 
A,EUR_HAB,TOT_HC,CH,6910.07 ,6977.19 ,7160.61 ,8311.17 ,8338.43 ,8315.14 ,8079.96 ,8586.70 ,9043.05 ,9482.43 ,10374.05 ,: 
A,EUR_HAB,TOT_HC,CY,1474.97 ,1449.97 ,1421.46 ,1438.18 ,1485.39 ,1564.91 ,1700.49 ,1856.90 ,2169.11 ,2623.43 ,2699.66 ,: 
A,EUR_HAB,TOT_HC,CZ,1174.70 ,1136.77 ,1138.84 ,1179.34 ,1241.50 ,1344.82 ,1480.64 ,1609.55 ,1847.26 ,2143.63 ,2277.78 ,: 
A,EUR_HAB,TOT_HC,DE,3704.79 ,3834.33 ,3985.74 ,4145.58 ,4279.33 ,4476.61 ,4657.37 ,4898.43 ,5194.04 ,5609.80 ,5831.61 ,: 
A,EUR_HAB,TOT_HC,DK,4790.53 ,4759.80 ,4854.70 ,4969.01 ,5066.91 ,5164.02 ,5269.24 ,5404.57 ,5722.96 ,6293.45 ,6109.87 ,: 
A,EUR_HAB,TOT_HC,EA19,: ,: ,3086.98 ,3174.53 ,3250.65 ,3349.98 ,3453.44 ,3590.16 ,3761.30 p,4075.80 p,4205.26 p,: 
A,EUR_HAB,TOT_HC,EA20,: ,: ,3057.28 ,3144.45 ,3220.51 ,3319.53 ,3422.89 ,3558.91 ,3728.63 p,4042.99 p,4172.85 p,: 
A,EUR_HAB,TOT_HC,EE,825.61 ,901.15 ,970.27 ,1041.66 ,1107.80 ,1193.55 ,1312.58 ,1426.42 ,1565.67 ,1766.91 ,1874.20 ,: 
A,EUR_HAB,TOT_HC,EL,1522.08 ,1384.25 ,1284.05 ,1339.78 ,1368.10 ,1338.15 ,1358.49 ,1401.97 ,1469.02 ,1577.26 ,1682.72 ,: 
A,EUR_HAB,TOT_HC,ES,2018.42 ,1984.84 ,2018.69 ,2117.85 ,2145.45 ,2232.14 ,2314.86 ,2413.84 ,2535.45 ,2657.37 ,2745.32 ,: 
A,EUR_HAB,TOT_HC,EU27_2020,: ,: ,2658.13 ,2737.20 ,2807.27 ,2902.08 ,2994.18 ,3116.25 ,3273.66 p,3566.78 p,3684.55 p,: 
A,EUR_HAB,TOT_HC,FI,3559.49 ,3683.49 ,3705.37 ,3720.86 b,3712.03 ,3749.64 ,3827.56 ,3984.05 ,4146.64 ,4448.96 p,4666.15 p,: 
A,EUR_HAB,TOT_HC,FR,3606.13 ,3668.36 ,3736.38 ,3779.17 ,3847.37 ,3903.45 ,3944.92 ,4015.35 ,4139.21 ,4533.53 ,4606.98 ,: 
A,EUR_HAB,TOT_HC,HR,: ,671.11 ,686.44 ,719.53 ,763.03 ,805.78 ,870.38 ,930.62 ,962.91 ,1195.09 ,1279.15 ,: 
A,EUR_HAB,TOT_HC,HU,748.86 ,747.64 ,758.94 ,785.40 ,827.76 ,875.20 ,915.78 ,942.17 ,1031.55 ,1170.72 ,1171.33 ,: 
A,EUR_HAB,TOT_HC,IE,4046.39 ,3988.79 ,3984.62 ,4102.94 ,4243.77 ,4413.28 ,4614.55 ,4849.96 ,5316.64 ,5688.64 ,5997.91 ,: 
A,EUR_HAB,TOT_HC,IS,2946.21 ,3082.85 ,3411.67 ,3882.38 ,4571.96 ,5313.04 ,5320.09 ,5282.10 ,4989.06 ,5687.35 ,6488.26 ,: 
