sex,age,icd10,resid,country,2016,2017,2018,2019,2020,2021,2022,2023
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Austria,1164.0,1830.0,2011.0,1980.0,1850.0,2047.0,2242.0,2444.0
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Belgium,3334.0,3544.0,3493.0,3679.0,3527.0,2984.0,3461.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Bulgaria,40.0,33.0,35.0,40.0,57.0,51.0,39.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Switzerland,3347.0,3781.0,3798.0,3856.0,3789.0,3452.0,3978.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Cyprus,108.0,117.0,164.0,179.0,155.0,194.0,221.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Czechia,822.0,1048.0,995.0,1085.0,1210.0,1226.0,1148.0,1099.0
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Germany,28205.0,32654.0,36334.0,36086.0,36929.0,37149.0,42854.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Denmark,2049.0,2186.0,2298.0,2129.0,2067.0,2179.0,2345.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Estonia,45.0,68.0,63.0,101.0,109.0,104.0,115.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Greece,896.0,1185.0,1178.0,1444.0,1656.0,1963.0,2160.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Spain,13828.0,14314.0,14771.0,15021.0,14547.0,13382.0,15210.0,14631.0
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,European Union - 27 countries (from 2020),102121.0,111995.0,118826.0,120482.0,120068.0,117496.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,European Union - 28 countries (2013-2020),137460.0,148536.0,155048.0,,,,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Finland,1497.0,1438.0,1607.0,1527.0,1665.0,1784.0,2028.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,France,15743.0,15710.0,16923.0,16890.0,15452.0,14565.0,15513.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Metropolitan France,15571.0,15532.0,16753.0,16659.0,15245.0,14368.0,15322.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Croatia,660.0,732.0,735.0,766.0,712.0,1001.0,1134.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Hungary,2072.0,2416.0,2494.0,2882.0,2810.0,2584.0,2659.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Ireland,1075.0,1170.0,1195.0,1217.0,1084.0,1198.0,1271.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Iceland,36.0,48.0,54.0,57.0,64.0,62.0,67.0,
