,coicop,country,year,month,value
4458078,All-items HICP,Albania,2018,01,1.7
4458079,All-items HICP,Austria,2018,01,1.9
4458080,All-items HICP,Belgium,2018,01,1.8
4458081,All-items HICP,Bulgaria,2018,01,1.3
4458082,All-items HICP,Switzerland,2018,01,0.8
4458083,All-items HICP,Cyprus,2018,01,1.5
4458085,All-items HICP,Germany,2018,01,1.5
4458086,All-items HICP,Denmark,2018,01,0.6
4458090,All-items HICP,Estonia,2018,01,3.6
4458092,All-items HICP,Greece,2018,01,0.2
4458093,All-items HICP,Spain,2018,01,0.7
4458097,All-items HICP,Finland,2018,01,0.8
4458098,All-items HICP,France,2018,01,1.5
4458099,All-items HICP,Croatia,2018,01,1.2
4458100,All-items HICP,Hungary,2018,01,2.1
4458101,All-items HICP,Ireland,2018,01,0.3
4458102,All-items HICP,Iceland,2018,01,0.7
4458103,All-items HICP,Italy,2018,01,1.2
4458104,All-items HICP,Lithuania,2018,01,3.6
4458105,All-items HICP,Luxembourg,2018,01,1.3
4458106,All-items HICP,Latvia,2018,01,2.0
4458107,All-items HICP,Montenegro,2018,01,3.3
4458108,All-items HICP,North Macedonia,2018,01,2.1
4458109,All-items HICP,Malta,2018,01,1.2
4458110,All-items HICP,Netherlands,2018,01,1.5
4458111,All-items HICP,Norway,2018,01,1.6
4458112,All-items HICP,Poland,2018,01,1.6
4458113,All-items HICP,Portugal,2018,01,1.1
4458114,All-items HICP,Romania,2018,01,3.4
4458115,All-items HICP,Serbia,2018,01,2.0
4458116,All-items HICP,Sweden,2018,01,1.6
4458117,All-items HICP,Slovenia,2018,01,1.7
4458118,All-items HICP,Slovakia,2018,01,2.6
4458123,Food and non-alcoholic beverages,Albania,2018,01,3.3
4458124,Food and non-alcoholic beverages,Austria,2018,01,2.0
4458125,Food and non-alcoholic beverages,Belgium,2018,01,2.0
4458126,Food and non-alcoholic beverages,Bulgaria,2018,01,0.8
4458127,Food and non-alcoholic beverages,Switzerland,2018,01,1.3
4458128,Food and non-alcoholic beverages,Cyprus,2018,01,4.4
4458130,Food and non-alcoholic beverages,Germany,2018,01,2.8
4458131,Food and non-alcoholic beverages,Denmark,2018,01,1.6
4458135,Food and non-alcoholic beverages,Estonia,2018,01,5.6
4458137,Food and non-alcoholic beverages,Greece,2018,01,1.0
4458138,Food and non-alcoholic beverages,Spain,2018,01,1.3
4458142,Food and non-alcoholic beverages,Finland,2018,01,1.5
4458143,Food and non-alcoholic beverages,France,2018,01,1.3
4458144,Food and non-alcoholic beverages,Croatia,2018,01,0.8
4458145,Food and non-alcoholic beverages,Hungary,2018,01,4.5
4458146,Food and non-alcoholic beverages,Ireland,2018,01,1.6
4458147,Food and non-alcoholic beverages,Iceland,2018,01,0.1
4458148,Food and non-alcoholic beverages,Italy,2018,01,1.3
4458149,Food and non-alcoholic beverages,Lithuania,2018,01,3.3
4458150,Food and non-alcoholic beverages,Luxembourg,2018,01,1.9
4458151,Food and non-alcoholic beverages,Latvia,2018,01,2.0
4458152,Food and non-alcoholic beverages,Montenegro,2018,01,0.4
4458153,Food and non-alcoholic beverages,North Macedonia,2018,01,1.0
4458154,Food and non-alcoholic beverages,Malta,2018,01,0.4
4458155,Food and non-alcoholic beverages,Netherlands,2018,01,2.2
4458156,Food and non-alcoholic beverages,Norway,2018,01,2.5
4458157,Food and non-alcoholic beverages,Poland,2018,01,4.1
4458158,Food and non-alcoholic beverages,Portugal,2018,01,1.5
4458159,Food and non-alcoholic beverages,Romania,2018,01,3.8
4458160,Food and non-alcoholic beverages,Serbia,2018,01,2.4
4458161,Food and non-alcoholic beverages,Sweden,2018,01,2.4
4458162,Food and non-alcoholic beverages,Slovenia,2018,01,3.0
4458163,Food and non-alcoholic beverages,Slovakia,2018,01,6.8
4461165,"Alcoholic beverages, tobacco and narcotics",Albania,2018,01,1.2
4461166,"Alcoholic beverages, tobacco and narcotics",Austria,2018,01,4.9
4461167,"Alcoholic beverages, tobacco and narcotics",Belgium,2018,01,4.0
4461168,"Alcoholic beverages, tobacco and narcotics",Bulgaria,2018,01,1.7
4461169,"Alcoholic beverages, tobacco and narcotics",Switzerland,2018,01,1.0
4461170,"Alcoholic beverages, tobacco and narcotics",Cyprus,2018,01,1.5
4461172,"Alcoholic beverages, tobacco and narcotics",Germany,2018,01,2.9
4461173,"Alcoholic beverages, tobacco and narcotics",Denmark,2018,01,0.6
4461177,"Alcoholic beverages, tobacco and narcotics",Estonia,2018,01,11.2
4461179,"Alcoholic beverages, tobacco and narcotics",Greece,2018,01,7.5
4461180,"Alcoholic beverages, tobacco and narcotics",Spain,2018,01,1.3
4461184,"Alcoholic beverages, tobacco and narcotics",Finland,2018,01,6.2
4461185,"Alcoholic beverages, tobacco and narcotics",France,2018,01,3.3
4461186,"Alcoholic beverages, tobacco and narcotics",Croatia,2018,01,2.1
4461187,"Alcoholic beverages, tobacco and narcotics",Hungary,2018,01,7.3
