,Unnamed: 0,coicop,country,year,month,value
0,4458078,All-items HICP,Albania,2018,1,1.7
1,4458079,All-items HICP,Austria,2018,1,1.9
2,4458080,All-items HICP,Belgium,2018,1,1.8
3,4458081,All-items HICP,Bulgaria,2018,1,1.3
4,4458082,All-items HICP,Switzerland,2018,1,0.8
5,4458083,All-items HICP,Cyprus,2018,1,1.5
6,4458085,All-items HICP,Germany,2018,1,1.5
7,4458086,All-items HICP,Denmark,2018,1,0.6
8,4458090,All-items HICP,Estonia,2018,1,3.6
9,4458092,All-items HICP,Greece,2018,1,0.2
10,4458093,All-items HICP,Spain,2018,1,0.7
11,4458097,All-items HICP,Finland,2018,1,0.8
12,4458098,All-items HICP,France,2018,1,1.5
13,4458099,All-items HICP,Croatia,2018,1,1.2
14,4458100,All-items HICP,Hungary,2018,1,2.1
15,4458101,All-items HICP,Ireland,2018,1,0.3
16,4458102,All-items HICP,Iceland,2018,1,0.7
17,4458103,All-items HICP,Italy,2018,1,1.2
18,4458104,All-items HICP,Lithuania,2018,1,3.6
19,4458105,All-items HICP,Luxembourg,2018,1,1.3
20,4458106,All-items HICP,Latvia,2018,1,2.0
21,4458107,All-items HICP,Montenegro,2018,1,3.3
22,4458108,All-items HICP,North Macedonia,2018,1,2.1
23,4458109,All-items HICP,Malta,2018,1,1.2
24,4458110,All-items HICP,Netherlands,2018,1,1.5
25,4458111,All-items HICP,Norway,2018,1,1.6
26,4458112,All-items HICP,Poland,2018,1,1.6
27,4458113,All-items HICP,Portugal,2018,1,1.1
28,4458114,All-items HICP,Romania,2018,1,3.4
29,4458115,All-items HICP,Serbia,2018,1,2.0
30,4458116,All-items HICP,Sweden,2018,1,1.6
31,4458117,All-items HICP,Slovenia,2018,1,1.7
32,4458118,All-items HICP,Slovakia,2018,1,2.6
33,4458123,Food and non-alcoholic beverages,Albania,2018,1,3.3
34,4458124,Food and non-alcoholic beverages,Austria,2018,1,2.0
35,4458125,Food and non-alcoholic beverages,Belgium,2018,1,2.0
36,4458126,Food and non-alcoholic beverages,Bulgaria,2018,1,0.8
37,4458127,Food and non-alcoholic beverages,Switzerland,2018,1,1.3
38,4458128,Food and non-alcoholic beverages,Cyprus,2018,1,4.4
