ISO2,ISO3,country,measure,description,date_start,date_end
AT,AUT,Austria,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-16,2020-05-04
AT,AUT,Austria,ClosHigh,Closure of educational institutions: higher education.,2020-03-16,2020-09-30
AT,AUT,Austria,ClosPrim,Closure of educational institutions: primary schools.,2020-11-17,2020-12-07
AT,AUT,Austria,ClosPrim,Closure of educational institutions: primary schools.,2020-12-26,2021-02-07
AT,AUT,Austria,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-16,2020-04-13
AT,AUT,Austria,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-05-02,2020-05-14
AT,AUT,Austria,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-11-16,2020-12-06
AT,AUT,Austria,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-12-28,2021-02-06
AT,AUT,Austria,ClosSec,Closure of educational institutions: secondary schools.,2020-11-03,2021-02-07
AT,AUT,Austria,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-09-14,2021-06-09
AT,AUT,Austria,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-11,2020-07-31
AT,AUT,Austria,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-11-03,2021-05-18
AT,AUT,Austria,QuarantineForInternationalTravellers,Quarantine for individuals arriving from abroad,2020-03-10,2022-05-15
AT,AUT,Austria,SocialCircle,Social circle/bubble to limit social contacts e.g. to limited number of households,2020-11-17,2021-05-18
AT,AUT,Austria,StayHomeGen,Stay-at-home recommendations for the general population (which are voluntary or not enforced),2020-03-10,2020-03-15
