country,measure,description,date_start,date_end
Austria,AdaptationOfWorkplace,Adaptation of workplaces (e.g. to reduce risk of transmission),2020-03-16,2020-04-13
Austria,AdaptationOfWorkplace,Adaptation of workplaces (e.g. to reduce risk of transmission),2021-04-01,2022-03-05
Austria,BanOnAllEvents,Interventions are in place to limit all indoor/outdoor mass/public gatherings,2020-11-03,2021-05-18
Austria,ClosDaycare,Closure of educational institutions: daycare or nursery.,2020-03-16,2020-05-04
Austria,ClosHigh,Closure of educational institutions: higher education.,2020-03-16,2020-09-30
Austria,ClosHighPartial,Closure of educational institutions: higher education - partially relaxed measure,2020-11-03,2022-02-28
Austria,ClosPrim,Closure of educational institutions: primary schools.,2020-11-17,2020-12-07
Austria,ClosPrim,Closure of educational institutions: primary schools.,2020-12-26,2021-02-07
Austria,ClosPrimPartial,Closure of educational institutions: primary schools - partially relaxed measure,2020-03-16,2020-05-18
Austria,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-03-16,2020-04-13
Austria,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-05-02,2020-05-14
Austria,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-11-16,2020-12-06
Austria,ClosPubAny,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers, etc).",2020-12-28,2021-02-06
Austria,ClosPubAnyPartial,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers etc) - partially relaxed measure",2020-04-14,2020-05-01
Austria,ClosPubAnyPartial,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers etc) - partially relaxed measure",2020-05-15,2020-11-15
Austria,ClosPubAnyPartial,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers etc) - partially relaxed measure",2020-12-07,2020-12-27
Austria,ClosPubAnyPartial,"Closure of public spaces of any kind (including restaurants, entertainment venues, non-essential shops, partial or full closure of public transport, gyms and sport centers etc) - partially relaxed measure",2021-02-07,2022-03-05
Austria,ClosSec,Closure of educational institutions: secondary schools.,2020-11-03,2021-02-07
Austria,ClosSecPartial,Closure of educational institutions: secondary schools - partially relaxed measure,2020-03-16,2020-06-03
Austria,ClosSecPartial,Closure of educational institutions: secondary schools - partially relaxed measure,2021-02-08,2021-05-16
Austria,EntertainmentVenues,Closure of entertainment venues,2020-03-16,2020-04-30
Austria,EntertainmentVenues,Closure of entertainment venues,2020-11-03,2021-02-07
Austria,EntertainmentVenuesPartial,Closure of entertainment venues - partially relaxed measure,2021-02-08,2022-03-04
Austria,GymsSportsCentres,Closure of gyms/sports centres,2020-11-03,2021-05-18
Austria,GymsSportsCentresPartial,Closure of gyms/sports centres - partially relaxed measure,2021-05-19,2022-03-04
Austria,HotelsOtherAccommodation,,2020-03-31,2020-05-29
Austria,HotelsOtherAccommodation,,2020-11-03,2021-05-18
Austria,HotelsOtherAccommodationPartial,,2021-05-19,2022-03-04
Austria,IndoorOver100,Interventions are in place to limit indoor mass/public gatherings of over 100 participants,2020-03-11,2020-06-30
Austria,IndoorOver1000,Interventions are in place to limit indoor mass/public gatherings of over 1000 participants,2020-08-01,2020-09-13
Austria,IndoorOver50,Interventions are in place to limit indoor mass/public gatherings of over 50 participants,2020-09-14,2020-11-02
Austria,IndoorOver500,Interventions are in place to limit indoor mass/public gatherings of over 500 participants,2020-07-01,2020-07-31
Austria,IndoorOver500,Interventions are in place to limit indoor mass/public gatherings of over 500 participants,2021-12-12,2022-03-04
Austria,MasksMandatoryAllSpaces,Protective mask use in all public spaces on mandatory basis (enforced by law),2020-09-14,2021-06-09
Austria,MasksMandatoryAllSpacesPartial,Protective mask use in all public spaces on mandatory basis (enforced by law) - partially relaxed measure,2022-01-11,2022-03-04
Austria,MasksMandatoryClosedSpaces,Protective mask use in closed public spaces/transport on mandatory basis (enforced by law),2021-06-10,2022-01-10
Austria,MasksMandatoryClosedSpacesPartial,Protective mask use in closed public spaces/transport on mandatory basis (enforced by law) - partially relaxed measure,2020-06-15,2020-07-08
Austria,MasksVoluntaryClosedSpacesPartial,Protective mask use in closed public spaces/transport on voluntary basis (general recommendation not enforced) - partially relaxed measure,2020-03-31,2020-04-05
Austria,MassGather50,,2020-11-03,2021-05-18
Austria,MassGather50Partial,,2020-09-14,2020-11-02
Austria,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-03-11,2020-07-31
Austria,MassGatherAll,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included),2020-11-03,2021-05-18
Austria,MassGatherAllPartial,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included) - partially relaxed measure,2020-08-01,2020-11-02
Austria,MassGatherAllPartial,Interventions are in place to limit mass/public gatherings (any interventions on mass gatherings up to 1000 participants included) - partially relaxed measure,2021-12-12,2022-03-04
Austria,NonEssentialShops,Closures of non-essential shops,2020-03-16,2020-04-13
Austria,NonEssentialShops,Closures of non-essential shops,2020-11-17,2020-12-06
