sex,age,icd10,resid,country,2016,2017,2018,2019,2020,2021,2022,2023
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Austria,87.0,104.0,123.0,104.0,108.0,143.0,135.0,144.0
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Belgium,99.0,112.0,90.0,93.0,111.0,79.0,103.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Bulgaria,1.0,3.0,3.0,3.0,6.0,9.0,1.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Switzerland,52.0,48.0,63.0,44.0,58.0,42.0,59.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Cyprus,,0.0,2.0,1.0,1.0,1.0,0.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Czechia,22.0,22.0,25.0,34.0,40.0,38.0,48.0,46.0
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Germany,1147.0,1082.0,1113.0,1048.0,1164.0,1123.0,1212.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Denmark,165.0,126.0,105.0,105.0,119.0,115.0,113.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Estonia,9.0,9.0,7.0,7.0,21.0,12.0,11.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Greece,4.0,9.0,5.0,3.0,12.0,5.0,8.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Spain,34.0,34.0,29.0,18.0,29.0,26.0,45.0,42.0
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,European Union - 27 countries (from 2020),2947.0,2913.0,2961.0,2981.0,3145.0,3026.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,European Union - 28 countries (2013-2020),3198.0,3201.0,3271.0,,,,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Finland,42.0,46.0,50.0,50.0,42.0,42.0,54.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,France,538.0,480.0,549.0,509.0,423.0,493.0,580.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Metropolitan France,530.0,472.0,531.0,499.0,409.0,482.0,569.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Croatia,23.0,22.0,17.0,43.0,37.0,28.0,34.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Hungary,52.0,51.0,67.0,70.0,64.0,59.0,64.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Ireland,6.0,7.0,1.0,4.0,6.0,6.0,14.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Iceland,2.0,1.0,0.0,2.0,0.0,1.0,2.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Italy,43.0,40.0,45.0,48.0,48.0,55.0,44.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Liechtenstein,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Lithuania,2.0,3.0,1.0,2.0,4.0,4.0,2.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Luxembourg,5.0,8.0,9.0,6.0,9.0,4.0,8.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Latvia,16.0,19.0,21.0,17.0,22.0,51.0,,
