ISO2,country,cause,age,sex,year,deaths,percentage
AT,Austria,COVID-19,65,Females,2016,0.0,0.0
AT,Austria,COVID-19,65,Males,2016,0.0,0.0
AT,Austria,COVID-19,65,Total,2016,0.0,0.0
AT,Austria,COVID-19,15-29,Females,2016,0.0,0.0
AT,Austria,COVID-19,15-29,Males,2016,0.0,0.0
AT,Austria,COVID-19,15-29,Total,2016,0.0,0.0
AT,Austria,COVID-19,30-44,Females,2016,0.0,0.0
AT,Austria,COVID-19,30-44,Males,2016,0.0,0.0
AT,Austria,COVID-19,30-44,Total,2016,0.0,0.0
AT,Austria,COVID-19,45-64,Females,2016,0.0,0.0
AT,Austria,COVID-19,45-64,Males,2016,0.0,0.0
AT,Austria,COVID-19,45-64,Total,2016,0.0,0.0
AT,Austria,COVID-19,15,Females,2016,0.0,0.0
AT,Austria,COVID-19,15,Males,2016,0.0,0.0
AT,Austria,COVID-19,15,Total,2016,0.0,0.0
AT,Austria,COVID-19,Total,Females,2016,0.0,0.0
AT,Austria,COVID-19,Total,Males,2016,0.0,0.0
AT,Austria,COVID-19,Total,Total,2016,0.0,0.0
AT,Austria,Drug dependence,65,Females,2016,3.0,0.0037325503272202
AT,Austria,Drug dependence,65,Males,2016,9.0,0.0111976509816607
AT,Austria,Drug dependence,65,Total,2016,12.0,0.0149302013088809
AT,Austria,Drug dependence,15-29,Females,2016,5.0,0.0062209172120337
AT,Austria,Drug dependence,15-29,Males,2016,15.0,0.0186627516361012
AT,Austria,Drug dependence,15-29,Total,2016,20.0,0.0248836688481349
AT,Austria,Drug dependence,30-44,Females,2016,,
AT,Austria,Drug dependence,30-44,Males,2016,,
AT,Austria,Drug dependence,30-44,Total,2016,,
AT,Austria,Drug dependence,45-64,Females,2016,,
AT,Austria,Drug dependence,45-64,Males,2016,,
AT,Austria,Drug dependence,45-64,Total,2016,,
AT,Austria,Drug dependence,15,Females,2016,0.0,0.0
AT,Austria,Drug dependence,15,Males,2016,0.0,0.0
AT,Austria,Drug dependence,15,Total,2016,0.0,0.0
AT,Austria,Drug dependence,Total,Females,2016,25.0,0.0311045860601687
AT,Austria,Drug dependence,Total,Males,2016,80.0,0.0995346753925398
AT,Austria,Drug dependence,Total,Total,2016,105.0,0.1306392614527086
AT,Austria,Intentional self-harm,65,Females,2016,103.0,0.1281508945678951
AT,Austria,Intentional self-harm,65,Males,2016,346.0,0.4304874710727349
AT,Austria,Intentional self-harm,65,Total,2016,449.0,0.5586383656406301
AT,Austria,Intentional self-harm,15-29,Females,2016,30.0,0.0373255032722024
AT,Austria,Intentional self-harm,15-29,Males,2016,100.0,0.1244183442406748
AT,Austria,Intentional self-harm,15-29,Total,2016,130.0,0.1617438475128773
AT,Austria,Intentional self-harm,30-44,Females,2016,,
AT,Austria,Intentional self-harm,30-44,Males,2016,,
AT,Austria,Intentional self-harm,30-44,Total,2016,,
AT,Austria,Intentional self-harm,45-64,Females,2016,,
AT,Austria,Intentional self-harm,45-64,Males,2016,,
AT,Austria,Intentional self-harm,45-64,Total,2016,,
AT,Austria,Intentional self-harm,15,Females,2016,2.0,0.0024883668848134
AT,Austria,Intentional self-harm,15,Males,2016,1.0,0.0012441834424067
AT,Austria,Intentional self-harm,15,Total,2016,3.0,0.0037325503272202
AT,Austria,Intentional self-harm,Total,Females,2016,299.0,0.3720108492796177
AT,Austria,Intentional self-harm,Total,Males,2016,933.0,1.1608231517654963
AT,Austria,Intentional self-harm,Total,Total,2016,1232.0,1.532834001045114
AT,Austria,Mental and behavioural disorders,65,Females,2016,1095.0,1.3623808694353894
AT,Austria,Mental and behavioural disorders,65,Males,2016,665.0,0.8273819892004878
AT,Austria,Mental and behavioural disorders,65,Total,2016,1760.0,2.1897628586358775
AT,Austria,Mental and behavioural disorders,15-29,Females,2016,9.0,0.0111976509816607
AT,Austria,Mental and behavioural disorders,15-29,Males,2016,16.0,0.0199069350785079
AT,Austria,Mental and behavioural disorders,15-29,Total,2016,25.0,0.0311045860601687
AT,Austria,Mental and behavioural disorders,30-44,Females,2016,0.0,0.0
AT,Austria,Mental and behavioural disorders,30-44,Males,2016,0.0,0.0
AT,Austria,Mental and behavioural disorders,30-44,Total,2016,0.0,0.0
AT,Austria,Mental and behavioural disorders,45-64,Females,2016,0.0,0.0
AT,Austria,Mental and behavioural disorders,45-64,Males,2016,0.0,0.0
AT,Austria,Mental and behavioural disorders,45-64,Total,2016,0.0,0.0
AT,Austria,Mental and behavioural disorders,15,Females,2016,2.0,0.0024883668848134
AT,Austria,Mental and behavioural disorders,15,Males,2016,0.0,0.0
AT,Austria,Mental and behavioural disorders,15,Total,2016,2.0,0.0024883668848134
AT,Austria,Mental and behavioural disorders,Total,Females,2016,1183.0,1.4718690123671834
AT,Austria,Mental and behavioural disorders,Total,Males,2016,956.0,1.1894393709408515
AT,Austria,Mental and behavioural disorders,Total,Total,2016,2139.0,2.661308383308035
AT,Austria,Total,65,Females,2016,37128.0,46.19404284967776
AT,Austria,Total,65,Males,2016,30644.0,38.1267574091124
