ISO2,country,cause,age,sex,year,deaths,percentage
AT,Austria,COVID-19,15-64,Females,2016,0.0,0.0
AT,Austria,COVID-19,15-64,Females,2017,0.0,0.0
AT,Austria,COVID-19,15-64,Females,2018,0.0,0.0
AT,Austria,COVID-19,15-64,Females,2019,0.0,0.0
AT,Austria,COVID-19,15-64,Females,2020,127.0,0.139617206996251
AT,Austria,COVID-19,15-64,Females,2021,264.0,0.2902789536763168
AT,Austria,COVID-19,15-64,Females,2022,136.0,0.14673197678182243
AT,Austria,COVID-19,15-64,Females,2023,33.0,0.0369818340748376
AT,Austria,COVID-19,15-64,Males,2016,0.0,0.0
AT,Austria,COVID-19,15-64,Males,2017,0.0,0.0
AT,Austria,COVID-19,15-64,Males,2018,0.0,0.0
AT,Austria,COVID-19,15-64,Males,2019,0.0,0.0
AT,Austria,COVID-19,15-64,Males,2020,277.0,0.3045194199839494
AT,Austria,COVID-19,15-64,Males,2021,647.0,0.711403344805216
AT,Austria,COVID-19,15-64,Males,2022,286.0,0.3085687158794207
AT,Austria,COVID-19,15-64,Males,2023,70.0,0.0784463147042012
AT,Austria,COVID-19,15-64,Total,2016,0.0,0.0
AT,Austria,COVID-19,15-64,Total,2017,0.0,0.0
AT,Austria,COVID-19,15-64,Total,2018,0.0,0.0
AT,Austria,COVID-19,15-64,Total,2019,0.0,0.0
AT,Austria,COVID-19,15-64,Total,2020,404.0,0.4441366269802007
AT,Austria,COVID-19,15-64,Total,2021,911.0,1.001682298481533
AT,Austria,COVID-19,15-64,Total,2022,422.0,0.4553006926612431
AT,Austria,COVID-19,15-64,Total,2023,103.0,0.115428148779039
AT,Austria,COVID-19,65,Females,2016,0.0,0.0
AT,Austria,COVID-19,65,Females,2017,0.0,0.0
AT,Austria,COVID-19,65,Females,2018,0.0,0.0
AT,Austria,COVID-19,65,Females,2019,0.0,0.0
AT,Austria,COVID-19,65,Females,2020,2973.0,3.26836186141618
AT,Austria,COVID-19,65,Females,2021,3373.0,3.708753449811428
AT,Austria,COVID-19,65,Females,2022,2960.0,3.1935783181926074
AT,Austria,COVID-19,65,Females,2023,1255.0,1.4064303564824672
AT,Austria,COVID-19,65,Males,2016,0.0,0.0
AT,Austria,COVID-19,65,Males,2017,0.0,0.0
AT,Austria,COVID-19,65,Males,2018,0.0,0.0
AT,Austria,COVID-19,65,Males,2019,0.0,0.0
AT,Austria,COVID-19,65,Males,2020,3146.0,3.4585490803953256
AT,Austria,COVID-19,65,Males,2021,3669.0,4.034217731206087
AT,Austria,COVID-19,65,Males,2022,2979.0,3.2140776384783027
AT,Austria,COVID-19,65,Males,2023,1379.0,1.545392399672767
AT,Austria,COVID-19,65,Total,2016,0.0,0.0
AT,Austria,COVID-19,65,Total,2017,0.0,0.0
AT,Austria,COVID-19,65,Total,2018,0.0,0.0
AT,Austria,COVID-19,65,Total,2019,0.0,0.0
AT,Austria,COVID-19,65,Total,2020,6119.0,6.726910941811506
AT,Austria,COVID-19,65,Total,2021,7042.0,7.742971181017516
AT,Austria,COVID-19,65,Total,2022,5939.0,6.40765595667091
AT,Austria,COVID-19,65,Total,2023,2634.0,2.951822756155234
AT,Austria,COVID-19,Total,Females,2016,0.0,0.0
AT,Austria,COVID-19,Total,Females,2017,0.0,0.0
AT,Austria,COVID-19,Total,Females,2018,0.0,0.0
AT,Austria,COVID-19,Total,Females,2019,0.0,0.0
AT,Austria,COVID-19,Total,Females,2020,3100.0,3.407979068412432
