sex,age,cause,country,2016,2017,2018,2019,2020,2021,2022,2023
Females,65 years or over,Drug dependence,Austria,3.0,6.0,4.0,7.0,10.0,13.0,6.0,9.0
Males,65 years or over,Drug dependence,Austria,9.0,3.0,6.0,7.0,10.0,8.0,10.0,15.0
Total,65 years or over,Drug dependence,Austria,12.0,9.0,10.0,14.0,20.0,21.0,16.0,24.0
Females,From 15 to 29 years,Drug dependence,Austria,5.0,1.0,3.0,5.0,6.0,3.0,2.0,3.0
Males,From 15 to 29 years,Drug dependence,Austria,15.0,10.0,19.0,17.0,10.0,15.0,10.0,9.0
Total,From 15 to 29 years,Drug dependence,Austria,20.0,11.0,22.0,22.0,16.0,18.0,12.0,12.0
Females,From 30 to 44 years,Drug dependence,Austria,,,0.0,8.0,13.0,9.0,12.0,10.0
Males,From 30 to 44 years,Drug dependence,Austria,,,0.0,31.0,33.0,32.0,39.0,31.0
Total,From 30 to 44 years,Drug dependence,Austria,,,0.0,39.0,46.0,41.0,51.0,41.0
Females,From 45 to 64 years,Drug dependence,Austria,,,0.0,10.0,19.0,20.0,14.0,12.0
Males,From 45 to 64 years,Drug dependence,Austria,,,0.0,36.0,35.0,42.0,44.0,35.0
Total,From 45 to 64 years,Drug dependence,Austria,,,0.0,46.0,54.0,62.0,58.0,47.0
Females,Less than 15 years,Drug dependence,Austria,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Males,Less than 15 years,Drug dependence,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Drug dependence,Austria,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Females,Total,Drug dependence,Austria,25.0,30.0,39.0,30.0,49.0,45.0,34.0,34.0
Males,Total,Drug dependence,Austria,80.0,69.0,87.0,91.0,88.0,97.0,103.0,90.0
Total,Total,Drug dependence,Austria,105.0,99.0,126.0,121.0,137.0,142.0,137.0,124.0
Females,65 years or over,Intentional self-harm,Austria,103.0,100.0,108.0,87.0,87.0,85.0,137.0,157.0
Males,65 years or over,Intentional self-harm,Austria,346.0,394.0,386.0,358.0,353.0,395.0,408.0,403.0
