sex,age,cause,country,2016,2017,2018,2019,2020,2021,2022,2023,percentage_2016,percentage_2017,percentage_2018,percentage_2019,percentage_2020,percentage_2021,percentage_2022,percentage_2023
Females,65 years or over,COVID-19,Austria,0.0,0.0,0.0,0.0,2973.0,3373.0,2960.0,1255.0,0.0,0.0,0.0,0.0,3.2683618614161802,3.7087534498114283,3.1935783181926074,1.4064303564824672
Males,65 years or over,COVID-19,Austria,0.0,0.0,0.0,0.0,3146.0,3669.0,2979.0,1379.0,0.0,0.0,0.0,0.0,3.4585490803953256,4.034217731206087,3.2140776384783027,1.545392399672767
Total,65 years or over,COVID-19,Austria,0.0,0.0,0.0,0.0,6119.0,7042.0,5939.0,2634.0,0.0,0.0,0.0,0.0,6.726910941811506,7.742971181017516,6.40765595667091,2.951822756155234
Females,From 15 to 29 years,COVID-19,Austria,0.0,0.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0010993480865846552,0.0032986244735945113,0.008631292751871912,0.0
Males,From 15 to 29 years,COVID-19,Austria,0.0,0.0,0.0,0.0,3.0,15.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0032980442597539657,0.016493122367972558,0.005394557969919945,0.003361984915894344
Total,From 15 to 29 years,COVID-19,Austria,0.0,0.0,0.0,0.0,4.0,18.0,13.0,3.0,0.0,0.0,0.0,0.0,0.004397392346338621,0.019791746841567065,0.014025850721791855,0.003361984915894344
Females,From 30 to 44 years,COVID-19,Austria,0.0,0.0,0.0,0.0,5.0,17.0,9.0,4.0,0.0,0.0,0.0,0.0,0.005496740432923276,0.018692205350368897,0.009710204345855901,0.004482646554525792
Males,From 30 to 44 years,COVID-19,Austria,0.0,0.0,0.0,0.0,15.0,33.0,21.0,7.0,0.0,0.0,0.0,0.0,0.01649022129876983,0.03628486920953962,0.02265714347366377,0.007844631470420136
Total,From 30 to 44 years,COVID-19,Austria,0.0,0.0,0.0,0.0,20.0,50.0,30.0,11.0,0.0,0.0,0.0,0.0,0.021986961731693105,0.054977074559908516,0.032367347819519665,0.01232727802494593
Females,From 45 to 64 years,COVID-19,Austria,0.0,0.0,0.0,0.0,121.0,244.0,116.0,29.0,0.0,0.0,0.0,0.0,0.13302111847674328,0.26828812385235357,0.1251537449021427,0.032499187520311994
Males,From 45 to 64 years,COVID-19,Austria,0.0,0.0,0.0,0.0,259.0,595.0,260.0,60.0,0.0,0.0,0.0,0.0,0.2847311544254257,0.6542271872629114,0.2805170144358371,0.06723969831788688
Total,From 45 to 64 years,COVID-19,Austria,0.0,0.0,0.0,0.0,380.0,839.0,376.0,89.0,0.0,0.0,0.0,0.0,0.417752272902169,0.922515311115265,0.4056707593379798,0.09973888583819886
Females,Less than 15 years,COVID-19,Austria,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003236734781951967,0.0
Males,Less than 15 years,COVID-19,Austria,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004398165964792681,0.0,0.0
Total,Less than 15 years,COVID-19,Austria,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004398165964792681,0.003236734781951967,0.0
Females,Total,COVID-19,Austria,0.0,0.0,0.0,0.0,3100.0,3637.0,3096.0,1288.0,0.0,0.0,0.0,0.0,3.4079790684124314,3.9990324034877456,3.3403102949744303,1.443412190557305
Males,Total,COVID-19,Austria,0.0,0.0,0.0,0.0,3423.0,4316.0,3265.0,1449.0,0.0,0.0,0.0,0.0,3.763068500379275,4.745621076011304,3.522646354357724,1.623838714376968
