freq,unit,sex,age,icd10,resid,geo,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
A,NR,F,TOTAL,F,TOT_IN,AT,1164 ,1830 ,2011 ,1980 ,1850 ,2047 ,2242 ,2444 
A,NR,F,TOTAL,F,TOT_IN,BE,3334 ,3544 ,3493 ,3679 ,3527 ,2984 ,3461 ,: 
A,NR,F,TOTAL,F,TOT_IN,BG,40 ,33 ,35 ,40 ,57 ,51 ,39 ,: 
A,NR,F,TOTAL,F,TOT_IN,CH,3347 ,3781 ,3798 ,3856 ,3789 ,3452 ,3978 ,: 
A,NR,F,TOTAL,F,TOT_IN,CY,108 ,117 ,164 ,179 ,155 ,194 ,221 ,: 
A,NR,F,TOTAL,F,TOT_IN,CZ,822 ,1048 ,995 ,1085 ,1210 ,1226 ,1148 ,1099 
A,NR,F,TOTAL,F,TOT_IN,DE,28205 ,32654 ,36334 ,36086 ,36929 ,37149 ,42854 ,: 
A,NR,F,TOTAL,F,TOT_IN,DK,2049 ,2186 ,2298 ,2129 ,2067 ,2179 ,2345 ,: 
A,NR,F,TOTAL,F,TOT_IN,EE,45 ,68 ,63 ,101 ,109 ,104 ,115 ,: 
A,NR,F,TOTAL,F,TOT_IN,EL,896 ,1185 ,1178 ,1444 ,1656 ,1963 ,2160 ,: 
A,NR,F,TOTAL,F,TOT_IN,ES,13828 ,14314 ,14771 ,15021 ,14547 ,13382 ,15210 ,14631 
A,NR,F,TOTAL,F,TOT_IN,EU27_2020,102121 ,111995 ,118826 ,120482 ,120068 ,117496 ,: ,: 
A,NR,F,TOTAL,F,TOT_IN,EU28,137460 ,148536 ,155048 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,F,TOT_IN,FI,1497 ,1438 ,1607 ,1527 ,1665 ,1784 ,2028 ,: 
A,NR,F,TOTAL,F,TOT_IN,FR,15743 ,15710 ,16923 ,16890 ,15452 ,14565 ,15513 ,: 
A,NR,F,TOTAL,F,TOT_IN,FX,15571 ,15532 ,16753 ,16659 ,15245 ,14368 ,15322 ,: 
A,NR,F,TOTAL,F,TOT_IN,HR,660 ,732 ,735 ,766 ,712 ,1001 ,1134 ,: 
A,NR,F,TOTAL,F,TOT_IN,HU,2072 ,2416 ,2494 ,2882 ,2810 ,2584 ,2659 ,: 
A,NR,F,TOTAL,F,TOT_IN,IE,1075 ,1170 ,1195 ,1217 ,1084 ,1198 ,1271 ,: 
A,NR,F,TOTAL,F,TOT_IN,IS,36 ,48 ,54 ,57 ,64 ,62 ,67 ,: 
A,NR,F,TOTAL,F,TOT_IN,IT,14401 ,16403 ,16460 ,17372 ,18121 ,16951 ,18835 ,: 
A,NR,F,TOTAL,F,TOT_IN,LI,2 ,1 ,3 ,1 ,11 ,13 ,10 ,13 
A,NR,F,TOTAL,F,TOT_IN,LT,100 ,191 ,189 ,199 ,253 ,308 ,321 ,: 
A,NR,F,TOTAL,F,TOT_IN,LU,136 ,143 ,161 ,169 ,186 ,182 ,182 ,: 
A,NR,F,TOTAL,F,TOT_IN,LV,254 ,302 ,367 ,354 ,413 ,439 ,: ,: 
A,NR,F,TOTAL,F,TOT_IN,MT,100 ,126 ,165 ,154 ,217 ,226 ,214 ,: 
A,NR,F,TOTAL,F,TOT_IN,NL,7792 ,8210 ,8382 ,8074 ,7320 ,7480 ,8298 ,: 
A,NR,F,TOTAL,F,TOT_IN,NO,1836 ,2012 ,2098 ,2056 ,2033 ,2080 ,: ,: 
A,NR,F,TOTAL,F,TOT_IN,PL,715 ,873 ,829 ,807 ,885 ,1612 ,2082 ,: 
A,NR,F,TOTAL,F,TOT_IN,PT,2265 ,2512 ,3076 ,3607 ,4101 ,3850 ,: ,: 
A,NR,F,TOTAL,F,TOT_IN,RO,92 ,86 ,90 ,103 ,130 ,124 ,: ,: 
A,NR,F,TOTAL,F,TOT_IN,RS,782 ,819 ,786 ,811 ,854 ,910 ,916 ,: 
A,NR,F,TOTAL,F,TOT_IN,SE,4174 ,4236 ,4318 ,4127 ,4136 ,3617 ,3870 ,: 
A,NR,F,TOTAL,F,TOT_IN,SI,43 ,71 ,70 ,75 ,74 ,74 ,99 ,: 
A,NR,F,TOTAL,F,TOT_IN,SK,511 ,397 ,423 ,415 ,402 ,222 ,216 ,31 
A,NR,F,TOTAL,F,TOT_IN,TR,287 ,280 ,267 ,198 ,183 ,259 ,208 ,: 
A,NR,F,TOTAL,F,TOT_IN,UK,35339 ,36541 ,36222 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,AT,1160 ,1827 ,2002 ,1977 ,1842 ,2042 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,BE,3322 ,3548 ,3485 ,3670 ,3520 ,2971 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,BG,40 ,34 ,35 ,40 ,58 ,51 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,CH,3344 ,3771 ,3790 ,3848 ,3787 ,3442 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,CY,107 ,117 ,164 ,179 ,155 ,194 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,CZ,819 ,1049 ,989 ,1082 ,1208 ,1221 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,DE,28198 ,32653 ,36342 ,36085 ,36935 ,37159 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,DK,2049 ,2186 ,2298 ,2130 ,2067 ,2179 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,EE,45 ,68 ,62 ,100 ,109 ,104 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,EL,896 ,1181 ,1178 ,1443 ,1656 ,1964 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,ES,13824 ,14309 ,14765 ,15015 ,14542 ,13378 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,EU27_2020,102079 ,111954 ,118788 ,120425 ,120006 ,117465 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,EU28,137418 ,148502 ,155010 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,FI,1497 ,1439 ,1608 ,1527 ,1663 ,1783 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,FR,15749 ,15703 ,16918 ,16891 ,15455 ,14566 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,HR,653 ,728 ,730 ,758 ,698 ,990 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,HU,2070 ,2415 ,2492 ,2880 ,2807 ,2576 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,IE,1075 ,1165 ,1194 ,1216 ,1083 ,1198 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,IS,37 ,48 ,54 ,57 ,64 ,62 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,IT,14380 ,16376 ,16448 ,17341 ,18077 ,16941 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,LI,2 ,2 ,3 ,1 ,13 ,14 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,LT,100 ,192 ,189 ,198 ,253 ,308 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,LU,138 ,144 ,159 ,169 ,188 ,183 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,LV,254 ,302 ,367 ,354 ,413 ,439 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,MT,100 ,126 ,164 ,154 ,217 ,226 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,NL,7786 ,8211 ,8382 ,8072 ,7313 ,7477 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,NO,1836 ,2013 ,2099 ,2056 ,2031 ,2079 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,PL,723 ,876 ,835 ,804 ,890 ,1613 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,PT,2265 ,2510 ,3075 ,3610 ,4101 ,3850 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,RO,93 ,87 ,93 ,106 ,131 ,127 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,RS,782 ,819 ,786 ,811 ,855 ,910 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,SE,4174 ,4236 ,4316 ,4127 ,4136 ,3616 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,SI,49 ,74 ,75 ,81 ,87 ,85 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,SK,513 ,398 ,423 ,416 ,402 ,224 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,TR,287 ,278 ,267 ,199 ,183 ,259 ,: ,: 
A,NR,F,TOTAL,F,TOT_RESID,UK,35339 ,36548 ,36222 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,F10,TOT_IN,AT,87 ,104 ,123 ,104 ,108 ,143 ,135 ,144 
A,NR,F,TOTAL,F10,TOT_IN,BE,99 ,112 ,90 ,93 ,111 ,79 ,103 ,: 
A,NR,F,TOTAL,F10,TOT_IN,BG,1 ,3 ,3 ,3 ,6 ,9 ,1 ,: 
A,NR,F,TOTAL,F10,TOT_IN,CH,52 ,48 ,63 ,44 ,58 ,42 ,59 ,: 
A,NR,F,TOTAL,F10,TOT_IN,CY,: ,0 ,2 ,1 ,1 ,1 ,0 ,: 
A,NR,F,TOTAL,F10,TOT_IN,CZ,22 ,22 ,25 ,34 ,40 ,38 ,48 ,46 
A,NR,F,TOTAL,F10,TOT_IN,DE,1147 ,1082 ,1113 ,1048 ,1164 ,1123 ,1212 ,: 
A,NR,F,TOTAL,F10,TOT_IN,DK,165 ,126 ,105 ,105 ,119 ,115 ,113 ,: 
A,NR,F,TOTAL,F10,TOT_IN,EE,9 ,9 ,7 ,7 ,21 ,12 ,11 ,: 
A,NR,F,TOTAL,F10,TOT_IN,EL,4 ,9 ,5 ,3 ,12 ,5 ,8 ,: 
A,NR,F,TOTAL,F10,TOT_IN,ES,34 ,34 ,29 ,18 ,29 ,26 ,45 ,42 
A,NR,F,TOTAL,F10,TOT_IN,EU27_2020,2947 ,2913 ,2961 ,2981 ,3145 ,3026 ,: ,: 
A,NR,F,TOTAL,F10,TOT_IN,EU28,3198 ,3201 ,3271 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,F10,TOT_IN,FI,42 ,46 ,50 ,50 ,42 ,42 ,54 ,: 
A,NR,F,TOTAL,F10,TOT_IN,FR,538 ,480 ,549 ,509 ,423 ,493 ,580 ,: 
A,NR,F,TOTAL,F10,TOT_IN,FX,530 ,472 ,531 ,499 ,409 ,482 ,569 ,: 
A,NR,F,TOTAL,F10,TOT_IN,HR,23 ,22 ,17 ,43 ,37 ,28 ,34 ,: 
A,NR,F,TOTAL,F10,TOT_IN,HU,52 ,51 ,67 ,70 ,64 ,59 ,64 ,: 
A,NR,F,TOTAL,F10,TOT_IN,IE,6 ,7 ,1 ,4 ,6 ,6 ,14 ,: 
A,NR,F,TOTAL,F10,TOT_IN,IS,2 ,1 ,0 ,2 ,0 ,1 ,2 ,: 
A,NR,F,TOTAL,F10,TOT_IN,IT,43 ,40 ,45 ,48 ,48 ,55 ,44 ,: 
A,NR,F,TOTAL,F10,TOT_IN,LI,: ,0 ,0 ,0 ,0 ,1 ,0 ,0 
A,NR,F,TOTAL,F10,TOT_IN,LT,2 ,3 ,1 ,2 ,4 ,4 ,2 ,: 
A,NR,F,TOTAL,F10,TOT_IN,LU,5 ,8 ,9 ,6 ,9 ,4 ,8 ,: 
A,NR,F,TOTAL,F10,TOT_IN,LV,16 ,19 ,21 ,17 ,22 ,51 ,: ,: 
A,NR,F,TOTAL,F10,TOT_IN,MT,: ,0 ,2 ,0 ,0 ,1 ,2 ,: 
A,NR,F,TOTAL,F10,TOT_IN,NL,126 ,120 ,126 ,115 ,105 ,115 ,123 ,: 
A,NR,F,TOTAL,F10,TOT_IN,NO,24 ,28 ,35 ,21 ,29 ,35 ,: ,: 
A,NR,F,TOTAL,F10,TOT_IN,PL,372 ,419 ,410 ,484 ,575 ,420 ,474 ,: 
A,NR,F,TOTAL,F10,TOT_IN,PT,11 ,14 ,8 ,12 ,15 ,11 ,: ,: 
A,NR,F,TOTAL,F10,TOT_IN,RO,40 ,34 ,25 ,44 ,41 ,31 ,: ,: 
A,NR,F,TOTAL,F10,TOT_IN,RS,18 ,18 ,21 ,24 ,22 ,18 ,52 ,: 
A,NR,F,TOTAL,F10,TOT_IN,SE,44 ,64 ,48 ,59 ,66 ,76 ,66 ,: 
A,NR,F,TOTAL,F10,TOT_IN,SI,39 ,63 ,63 ,67 ,63 ,66 ,82 ,: 
A,NR,F,TOTAL,F10,TOT_IN,SK,20 ,22 ,17 ,35 ,14 ,13 ,14 ,6 
A,NR,F,TOTAL,F10,TOT_IN,TR,1 ,1 ,1 ,2 ,0 ,2 ,0 ,: 
A,NR,F,TOTAL,F10,TOT_IN,UK,251 ,288 ,310 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,AT,87 ,105 ,123 ,106 ,107 ,141 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,BE,98 ,112 ,88 ,92 ,111 ,79 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,BG,1 ,3 ,3 ,3 ,6 ,9 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,CH,52 ,48 ,62 ,44 ,58 ,42 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,CY,: ,0 ,2 ,1 ,1 ,1 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,CZ,22 ,23 ,25 ,33 ,39 ,37 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,DE,1143 ,1081 ,1111 ,1046 ,1163 ,1123 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,DK,165 ,126 ,105 ,105 ,119 ,115 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,EE,9 ,9 ,6 ,6 ,21 ,12 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,EL,4 ,7 ,5 ,3 ,12 ,5 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,ES,33 ,34 ,29 ,18 ,29 ,26 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,EU27_2020,2944 ,2910 ,2958 ,2978 ,3143 ,3021 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,EU28,3194 ,3197 ,3268 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,FI,42 ,46 ,51 ,50 ,42 ,42 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,FR,539 ,480 ,548 ,511 ,423 ,492 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,HR,22 ,22 ,17 ,42 ,37 ,29 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,HU,52 ,51 ,66 ,70 ,64 ,59 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,IE,6 ,7 ,1 ,4 ,6 ,6 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,IS,3 ,1 ,0 ,2 ,0 ,1 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,IT,42 ,38 ,46 ,47 ,48 ,55 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,LI,: ,0 ,0 ,0 ,0 ,1 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,LT,2 ,3 ,1 ,2 ,4 ,4 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,LU,5 ,9 ,9 ,6 ,9 ,4 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,LV,16 ,19 ,21 ,17 ,22 ,51 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,MT,: ,0 ,1 ,0 ,0 ,1 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,NL,125 ,119 ,127 ,114 ,104 ,112 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,NO,24 ,28 ,35 ,21 ,29 ,35 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,PL,377 ,419 ,412 ,484 ,577 ,421 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,PT,11 ,14 ,8 ,12 ,15 ,11 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,RO,40 ,34 ,25 ,44 ,41 ,31 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,RS,18 ,18 ,21 ,24 ,22 ,18 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,SE,44 ,64 ,48 ,59 ,66 ,76 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,SI,39 ,63 ,63 ,67 ,63 ,66 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,SK,20 ,22 ,17 ,36 ,14 ,13 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,TR,1 ,1 ,1 ,2 ,0 ,2 ,: ,: 
A,NR,F,TOTAL,F10,TOT_RESID,UK,250 ,287 ,310 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,AT,19 ,18 ,18 ,34 ,27 ,36 ,44 ,45 
A,NR,F,TOTAL,F_OTH,TOT_IN,BE,226 ,252 ,232 ,228 ,238 ,215 ,245 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,BG,15 ,12 ,11 ,18 ,13 ,13 ,14 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,CH,284 ,310 ,330 ,313 ,285 ,257 ,313 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,CY,4 ,2 ,6 ,6 ,11 ,11 ,11 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,CZ,25 ,33 ,25 ,25 ,39 ,43 ,33 ,33 
A,NR,F,TOTAL,F_OTH,TOT_IN,DE,948 ,1292 ,1197 ,1191 ,1439 ,1567 ,1759 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,DK,80 ,96 ,97 ,84 ,106 ,126 ,164 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,EE,7 ,7 ,4 ,8 ,6 ,11 ,16 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,EL,62 ,92 ,98 ,118 ,173 ,203 ,271 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,ES,310 ,254 ,252 ,276 ,314 ,306 ,307 ,284 
A,NR,F,TOTAL,F_OTH,TOT_IN,EU27_2020,5515 ,5959 ,6056 ,6207 ,6997 ,7155 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,EU28,5852 ,6273 ,6403 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,FI,84 ,84 ,111 ,102 ,116 ,124 ,143 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,FR,1961 ,1998 ,2151 ,2195 ,2292 ,2117 ,2342 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,FX,1928 ,1967 ,2127 ,2163 ,2255 ,2089 ,2310 ,: 
