freq,unit,sex,age,icd10,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,RT,F,TOTAL,A-R_V-Y,AT	844.98 	826.55 	795.74 	820.93 	779.04 	797.24 	784.67 	765.68 	819.09 	807.4 
A,RT,F,TOTAL,A-R_V-Y,AT1	897.23 	864.51 	835.1 	852.43 	823.36 	836.93 	836.28 	799.23 	845.58 	859.88 
A,RT,F,TOTAL,A-R_V-Y,AT11	912.63 	865.16 	862.3 	848.15 	826.53 	823.99 	814.31 	800.48 	856.48 	830.61 
A,RT,F,TOTAL,A-R_V-Y,AT12	909.24 	857.47 	826.01 	863.52 	825.72 	839.69 	831.56 	810.46 	835.14 	871.85 
A,RT,F,TOTAL,A-R_V-Y,AT13	884.4 	872.69 	838.31 	841.58 	820.75 	835.68 	842.79 	784.87 	851.54 	851.16 
A,RT,F,TOTAL,A-R_V-Y,AT2	822.02 	784.22 	775.87 	803.1 	758.1 	781.6 	763.51 	745.13 	828.14 	769.28 
A,RT,F,TOTAL,A-R_V-Y,AT21	811.4 	786.69 	768.38 	785.48 	753.37 	772.13 	775.94 	740.61 	810.73 	765.47 
A,RT,F,TOTAL,A-R_V-Y,AT22	827.2 	783.23 	779.34 	811.48 	760.4 	786.08 	757.61 	747.26 	836.57 	771.05 
A,RT,F,TOTAL,A-R_V-Y,AT3	786.56 	800.6 	751.62 	786.52 	731.5 	751.26 	741.31 	736.64 	773.58 	762.82 
A,RT,F,TOTAL,A-R_V-Y,AT31	811.76 	837.44 	767.35 	818.17 	743.49 	775.22 	771.13 	772.29 	801.66 	810.28 
A,RT,F,TOTAL,A-R_V-Y,AT32	763.37 	763.43 	736.36 	744.06 	733.49 	744.42 	709.7 	709.36 	757.88 	737.54 
A,RT,F,TOTAL,A-R_V-Y,AT33	774.85 	767.02 	757.95 	772.9 	711.91 	714.12 	708.84 	708.5 	743.77 	716.6 
A,RT,F,TOTAL,A-R_V-Y,AT34	734.37 	762.51 	690.13 	744.31 	712.72 	735.94 	728.75 	688.59 	743.11 	697.64 
A,RT,F,TOTAL,A-R_V-Y,BE	860.63 	849.81 	799.78 	835.59 	789 	789.61 	786.31 	759.43 	870.67 	750.85 
A,RT,F,TOTAL,A-R_V-Y,BE1	882.1 	832.58 	780.02 	809.8 	762.21 	756.45 	772.01 	761.3 	923.82 	739.59 
A,RT,F,TOTAL,A-R_V-Y,BE10	882.1 	832.58 	780.02 	809.8 	762.21 	756.45 	772.01 	761.3 	923.82 	739.59 
A,RT,F,TOTAL,A-R_V-Y,BE2	811.42 	799.39 	745.63 	779.06 	734.56 	740.55 	741.31 	713.58 	790.69 	692.52 
A,RT,F,TOTAL,A-R_V-Y,BE21	842.44 	827 	774.18 	808.31 	759.43 	768.88 	769.96 	743.74 	814.65 	714.7 
