,country,year,inbound,outbound
6,Austria,2018,192292602.0,46906583.0
8,Austria,2020,123853532.0,28703835.0
9,Austria,2021,119922439.0,36544635.0
10,Austria,2022,189948798.0,57386179.0
11,Austria,2023,197203986.0,61714662.0
18,Belgium,2018,62677488.0,33785398.0
20,Belgium,2020,37267631.0,18441019.0
21,Belgium,2021,53845678.0,25233152.0
22,Belgium,2022,64487947.0,36240963.0
23,Belgium,2023,72233570.0,38556943.0
30,Bulgaria,2018,28206072.0,10180610.0
32,Bulgaria,2020,11682098.0,4995807.0
33,Bulgaria,2021,16443536.0,6296228.0
34,Bulgaria,2022,20177819.0,8628336.0
35,Bulgaria,2023,24394610.0,9620774.0
42,Switzerland,2018,52492226.0,43891490.0
44,Switzerland,2020,36425158.0,26640412.0
45,Switzerland,2021,34890673.0,27854400.0
46,Switzerland,2022,48718781.0,36885854.0
47,Switzerland,2023,43879681.0,
54,Cyprus,2018,12931464.0,6002353.0
56,Cyprus,2020,10961597.0,4338712.0
57,Cyprus,2021,13161032.0,4684085.0
58,Cyprus,2022,14708400.0,5847538.0
59,Cyprus,2023,13120766.0,6478168.0
66,Czechia,2018,147658364.0,69138308.0
68,Czechia,2020,93943291.0,46181471.0
69,Czechia,2021,102137946.0,51972964.0
70,Czechia,2022,130092731.0,65950872.0
71,Czechia,2023,114960465.0,56263436.0
78,Germany,2018,1065021834.0,535758223.0
80,Germany,2020,703165670.0,292324826.0
81,Germany,2021,830095269.0,356316578.0
82,Germany,2022,905451477.0,443383446.0
83,Germany,2023,997611770.0,501289871.0
90,Denmark,2018,74381474.0,37750142.0
92,Denmark,2020,76392086.0,39879797.0
93,Denmark,2021,67176291.0,32516390.0
94,Denmark,2022,77926386.0,36399310.0
95,Denmark,2023,53668538.0,
102,Estonia,2018,40059400.0,12935054.0
104,Estonia,2020,17628250.0,5398839.0
105,Estonia,2021,17060188.0,5682101.0
106,Estonia,2022,26161492.0,7518733.0
107,Estonia,2023,29330460.0,9488120.0
114,Greece,2018,94017718.0,13130290.0
116,Greece,2020,41250145.0,9535494.0
117,Greece,2021,67797147.0,10425058.0
118,Greece,2022,100963320.0,13858878.0
119,Greece,2023,102001188.0,13831503.0
126,Spain,2018,1024001120.0,310580348.0
128,Spain,2020,495729379.0,158128278.0
129,Spain,2021,728724454.0,227517598.0
130,Spain,2022,917622852.0,276383183.0
131,Spain,2023,967173900.0,293640386.0
138,Finland,2018,184006000.0,77203394.0
140,Finland,2020,143936402.0,51341484.0
141,Finland,2021,180095091.0,62355074.0
142,Finland,2022,170559300.0,66587732.0
143,Finland,2023,152377173.0,62605131.0
150,France,2018,1265825267.0,440459824.0
152,France,2020,963275476.0,326843412.0
153,France,2021,1194145799.0,400671928.0
154,France,2022,1341496187.0,458531368.0
155,France,2023,1375532686.0,478915274.0
162,Croatia,2018,72992742.0,10510246.0
164,Croatia,2020,33511818.0,6006736.0
165,Croatia,2021,59276632.0,7833976.0
166,Croatia,2022,77240910.0,8999132.0
167,Croatia,2023,78839171.0,11381937.0
174,Hungary,2018,66833201.0,38459484.0
176,Hungary,2020,35157273.0,20205544.0
177,Hungary,2021,40514507.0,22602398.0
178,Hungary,2022,58691583.0,32257286.0
179,Hungary,2023,62811192.0,34229398.0
186,Ireland,2018,64902474.0,31881609.0
188,Ireland,2020,38095531.0,16258242.0
189,Ireland,2021,28460356.0,12894195.0
190,Ireland,2022,70480456.0,35954775.0
191,Ireland,2023,67831658.0,37857050.0
198,Italy,2018,498469278.0,136372472.0
200,Italy,2020,227259117.0,64544926.0
201,Italy,2021,288382477.0,72798532.0
202,Italy,2022,405410827.0,94678906.0
203,Italy,2023,395039060.0,90393495.0
210,Lithuania,2018,19134428.0,9770254.0
212,Lithuania,2020,15976972.0,6239156.0
213,Lithuania,2021,19653859.0,7839860.0
214,Lithuania,2022,24064293.0,11028872.0
215,Lithuania,2023,27385382.0,12146046.0
222,Luxembourg,2018,5117561.0,5109828.0
224,Luxembourg,2020,3553268.0,3198726.0
225,Luxembourg,2021,4693791.0,3930520.0
226,Luxembourg,2022,5992596.0,5966558.0
227,Luxembourg,2023,6933425.0,6562962.0
234,Latvia,2018,20919012.0,7904138.0
236,Latvia,2020,10417427.0,3596996.0
237,Latvia,2021,16114968.0,5808932.0
238,Latvia,2022,20491793.0,8262795.0
239,Latvia,2023,21650558.0,9224763.0
246,Malta,2018,7447034.0,1748910.0
248,Malta,2020,3122249.0,1138859.0
249,Malta,2021,4830365.0,1342552.0
250,Malta,2022,5620528.0,1874319.0
251,Malta,2023,8540719.0,2442622.0
258,Netherlands,2018,212711526.0,88873856.0
260,Netherlands,2020,157608150.0,56880752.0
261,Netherlands,2021,216431529.0,85361728.0
262,Netherlands,2022,186557841.0,89271094.0
263,Netherlands,2023,204931434.0,94395740.0
270,Norway,2018,60022074.0,54167814.0
272,Norway,2020,5966080.0,
273,Norway,2021,48569148.0,45346197.0
274,Norway,2022,15863549.0,
275,Norway,2023,63985030.0,58417288.0
282,Poland,2018,229848229.0,120966316.0
284,Poland,2020,169542398.0,89514958.0
285,Poland,2021,205331096.0,106180734.0
286,Poland,2022,239053410.0,126886874.0
287,Poland,2023,242948633.0,131655612.0
294,Portugal,2018,151101928.0,36596043.0
296,Portugal,2020,86242338.0,24863846.0
297,Portugal,2021,105938151.0,29220199.0
298,Portugal,2022,150629418.0,38029636.0
299,Portugal,2023,157845399.0,40079945.0
306,Romania,2018,84229331.0,36803710.0
308,Romania,2020,48050082.0,23264382.0
309,Romania,2021,72238321.0,34701452.0
310,Romania,2022,76029349.0,36590418.0
311,Romania,2023,91278522.0,42768196.0
318,Sweden,2018,179621597.0,109082308.0
320,Sweden,2020,208179173.0,108111069.0
321,Sweden,2021,216879491.0,113904362.0
322,Sweden,2022,274968126.0,155339324.0
323,Sweden,2023,160243384.0,
330,Slovenia,2018,17998026.0,10381678.0
332,Slovenia,2020,10419850.0,4802366.0
333,Slovenia,2021,22453164.0,10751332.0
334,Slovenia,2022,22144455.0,11867072.0
335,Slovenia,2023,29846447.0,15667405.0
342,Slovakia,2018,60051142.0,24846876.0
344,Slovakia,2020,32974450.0,10923582.0
345,Slovakia,2021,33043972.0,12624279.0
346,Slovakia,2022,53494013.0,20889225.0
347,Slovakia,2023,56156588.0,23715080.0
354,United Kingdom,2018,100080703.0,
356,United Kingdom,2020,20565543.0,
357,United Kingdom,2021,15228476.0,
358,United Kingdom,2022,70465438.0,
359,United Kingdom,2023,86053530.0,
